muestra,tiempo,ppg,ppg filtrado,spi,spi_promedio,estado,tipo evento,evento
1,0.02,-1951708,-1440.589774550126,nan,-,-,-,-
2,0.04,-1951073,-1951.5769748636762,nan,-,-,-,-
3,0.06,-1952942,-2215.374674657358,nan,-,-,-,-
4,0.08,-1955759,-2141.1546417252302,nan,-,-,-,-
5,0.1,-1946891,-2796.7707446840714,nan,-,-,-,-
6,0.12,-1931665,-3799.900694986931,nan,-,-,-,-
7,0.14,-1926244,-3918.5161460537965,nan,-,-,-,-
8,0.16,-1927690,-3363.9737923844914,nan,-,-,-,-
9,0.18,-1928155,-2700.28965095483,nan,-,-,-,-
10,0.2,-1929775,-1712.5786283145098,nan,-,-,-,-
11,0.22,-1932591,-374.48933719368597,nan,-,-,-,-
12,0.24,-1936446,1245.673480265757,nan,-,-,-,-
13,0.26,-1936734,2639.2140351543585,nan,-,-,-,-
14,0.28,-1936215,3782.2422324351237,nan,-,-,-,-
15,0.3,-1935072,4433.086748810605,nan,-,-,-,-
16,0.32,-1935099,4539.041226134104,nan,-,-,-,-
17,0.34,-1935838,4029.652409750376,nan,-,-,-,-
18,0.36,-1938567,3155.2940171351006,nan,-,-,-,-
19,0.38,-1938914,1871.297948795232,nan,-,-,-,-
20,0.4,-1940272,750.0682048964336,nan,-,-,-,-
21,0.42,-1942094,-29.315175324063603,nan,-,-,-,-
22,0.44,-1941825,-587.0113507787978,nan,-,-,-,-
23,0.46,-1946616,-437.3501972075428,nan,-,-,-,-
24,0.48,-1945568,-560.6990910320692,nan,-,-,-,-
25,0.5,-1946760,-491.8663053945693,nan,-,-,-,-
26,0.52,-1949787,-366.7971729368419,nan,-,-,-,-
27,0.54,-1950415,-544.4028068354164,nan,-,-,-,-
28,0.56,-1954079,-582.3577963255848,nan,-,-,-,-
29,0.58,-1949072,-1315.3895929069863,nan,-,-,-,-
30,0.6,-1929666,-3088.0920892666036,nan,-,-,-,-
31,0.62,-1928492,-3299.2362921310014,nan,-,-,-,-
32,0.64,-1931078,-2990.04770509845,nan,-,-,-,-
33,0.66,-1931886,-2552.3029794018094,nan,-,-,-,-
35,0.7,-1932337,-1861.758217824282,nan,-,-,-,-
36,0.72,-1934842,-751.196587151318,nan,-,-,-,-
37,0.74,-1935864,435.15536020360736,nan,-,-,-,-
38,0.76,-1935353,1556.1786586230123,nan,-,-,-,-
39,0.78,-1937824,2761.496985944885,nan,-,-,-,-
40,0.8,-1933790,3109.8759522884943,nan,-,-,-,-
41,0.82,-1933496,3227.8916270779137,nan,-,-,-,-
42,0.84,-1936881,3082.8001167608268,nan,-,-,-,-
43,0.86,-1938412,2379.4412705208842,nan,-,-,-,-
44,0.88,-1940861,1571.264862213422,nan,-,-,-,-
45,0.9,-1940953,654.8028572915237,nan,-,-,-,-
46,0.92,-1942827,104.23018469139697,nan,-,-,-,-
47,0.94,-1942332,-363.63259306351574,nan,-,-,-,-
48,0.96,-1943499,-503.2795202984389,nan,-,-,-,-
49,0.98,-1944565,-558.7596140758615,nan,-,-,-,-
50,1.0,-1946391,-564.8539939902248,nan,-,-,-,-
51,1.02,-1950179,-485.00440641362275,nan,-,-,-,-
52,1.04,-1947535,-956.1863863442964,nan,-,-,-,-
53,1.06,-1948585,-1150.8453906656864,nan,-,-,-,-
54,1.08,-1949171,-1330.4199348230984,nan,-,-,-,-
55,1.1,-1950064,-1407.4527406285831,nan,-,-,-,-
56,1.12,-1942367,-2053.88371412818,nan,-,-,-,-
57,1.14,-1928888,-3033.764763581785,nan,-,-,-,-
58,1.16,-1923753,-3221.8003495672747,nan,-,-,-,-
59,1.18,-1923813,-2811.1149543499996,nan,-,-,-,-
60,1.2,-1924151,-2138.2170482005586,nan,-,-,-,-
61,1.22,-1924673,-1189.707536257003,nan,-,-,-,-
62,1.24,-1923169,-155.74451697036056,nan,-,-,-,-
63,1.26,-1924959,1285.598529279493,nan,-,-,-,-
64,1.28,-1926454,2704.338341931086,nan,-,-,-,-
65,1.3,-1926128,3780.911318781362,nan,-,-,-,-
66,1.32,-1926879,4531.986784907665,nan,-,-,-,-
67,1.34,-1925922,4598.6458822688055,nan,-,-,-,-
68,1.36,-1926273,4188.266935960369,nan,-,-,-,-
69,1.38,-1927274,3372.967926884199,nan,-,-,-,-
70,1.4,-1925270,2101.167646585667,nan,-,-,-,-
71,1.42,-1929655,1333.9111051697755,nan,-,-,-,-
72,1.44,-1932783,653.7589165313439,nan,-,-,-,-
73,1.46,-1934424,107.8957956188242,nan,-,-,-,-
74,1.48,-1935684,-240.22920291683113,nan,-,-,-,-
75,1.5,-1935746,-528.7565708354286,nan,-,-,-,-
76,1.52,-1935512,-781.8466809766396,nan,-,-,-,-
77,1.54,-1936506,-960.7835242000792,nan,-,-,-,-
78,1.56,-1937878,-1171.7758933980804,nan,-,-,-,-
79,1.58,-1937116,-1597.095183788541,nan,-,-,-,-
80,1.6,-1942081,-1585.9893370800546,nan,-,-,-,-
81,1.62,-1943322,-1800.0325384800517,nan,-,-,-,-
82,1.64,-1944063,-1940.385902184269,nan,-,-,-,-
83,1.66,-1936044,-2608.989477582616,nan,-,-,-,-
84,1.68,-1920570,-3690.3178642251387,nan,-,-,-,-
85,1.7,-1916879,-3705.67639349849,nan,-,-,-,-
86,1.72,-1913447,-3535.678493835552,nan,-,-,-,-
87,1.74,-1916065,-2722.1078908775944,nan,-,-,-,-
88,1.76,-1916910,-1830.748675894929,nan,-,-,-,-
89,1.78,-1921042,-453.90013682343806,nan,-,-,-,-
90,1.8,-1921789,862.5593344278719,nan,-,-,-,-
91,1.82,-1924046,2367.1250836313393,nan,-,-,-,-
92,1.84,-1923766,3531.334543342734,nan,-,-,-,-
93,1.86,-1921964,4172.855210490894,nan,-,-,-,-
94,1.88,-1922380,4370.7999036024175,nan,-,-,-,-
95,1.9,-1922163,3848.575887384053,nan,-,-,-,-
96,1.92,-1923726,2925.5112523523276,nan,-,-,-,-
97,1.94,-1923298,1596.4880563455904,nan,-,-,-,-
98,1.96,-1925078,502.01955858718975,nan,-,-,-,-
99,1.98,-1928892,-136.397851729801,nan,-,-,-,-
100,2.0,-1930493,-557.9372857226854,nan,-,-,-,-
101,2.02,-1928725,-900.6591274944867,nan,-,-,-,-
102,2.04,-1932418,-626.4218201356534,nan,-,-,-,-
103,2.06,-1933910,-486.23813050244553,nan,-,-,-,-
104,2.08,-1933388,-591.3398386927056,nan,-,-,-,-
105,2.1,-1934879,-680.8348649129885,nan,-,-,-,-
106,2.12,-1935402,-960.0784148345392,nan,-,-,-,-
107,2.14,-1937230,-1188.3965007171,nan,-,-,-,-
108,2.16,-1941955,-1170.5819851836632,nan,-,-,-,-
109,2.18,-1939535,-1618.5626390837865,nan,-,-,-,-
110,2.2,-1924880,-2872.370736675597,nan,-,-,-,-
111,2.22,-1913219,-3716.0769739105344,nan,-,-,-,-
112,2.24,-1912640,-3497.2458581214196,nan,-,-,-,-
113,2.26,-1914100,-2895.584539671545,nan,-,-,-,-
114,2.28,-1916364,-1998.6244461173974,nan,-,-,-,-
115,2.3,-1918156,-904.4479356620996,nan,-,-,-,-
116,2.32,-1922194,559.546265184462,nan,-,-,-,-
117,2.34,-1923365,1904.070154824073,nan,-,-,-,-
118,2.36,-1923459,3093.0833426642935,nan,-,-,-,-
119,2.38,-1922559,3904.4659589944695,nan,-,-,-,-
120,2.4,-1918944,3986.918818460034,nan,-,-,-,-
121,2.42,-1918191,3654.2718015516575,nan,-,-,-,-
122,2.44,-1921277,3045.0367714981094,nan,-,-,-,-
123,2.46,-1923173,2009.798071385956,nan,-,-,-,-
124,2.48,-1926709,1081.7937453563154,nan,-,-,-,-
125,2.5,-1927851,219.683364763373,nan,-,-,-,-
126,2.52,-1929760,-207.3312358463445,nan,-,-,-,-
127,2.54,-1931407,-310.9485912389482,nan,-,-,-,-
128,2.56,-1932927,-230.2202293904811,nan,-,-,-,-
129,2.58,-1932391,-298.7337702636378,nan,-,-,-,-
130,2.6,-1932448,-453.353573417151,nan,-,-,-,-
131,2.62,-1937379,-416.34955159637866,nan,-,-,-,-
132,2.64,-1935772,-1014.7175098460139,nan,-,-,-,-
133,2.66,-1939614,-1220.4098473179156,nan,-,-,-,-
134,2.68,-1940000,-1602.5755561574888,nan,-,-,-,-
135,2.7,-1943039,-1629.8728700494294,nan,-,-,-,-
