muestra,tiempo,ppg,ppg filtrado,spi,spi_promedio,estado,tipo evento,evento,alarma
1,0.04,-960331,-799.6212885173736,nan,-,-,-,-,-
2,0.08,-961035,-1548.6625110181735,nan,-,-,-,-,-
3,0.12,-961338,-1585.9064706169202,nan,-,-,-,-,-
4,0.16,-961421,-1227.5042959409823,nan,-,-,-,-,-
5,0.2,-960119,-934.8631376873136,nan,-,-,-,-,-
6,0.24,-958225,-867.7282009757664,nan,-,-,-,-,-
7,0.28,-946666,-1215.6137609560974,nan,-,-,-,-,-
8,0.32,-942341,-1240.0458143292744,nan,-,-,-,-,-
9,0.36,-941918,-955.2383625211905,nan,-,-,-,-,-
10,0.4,-945239,-403.052195612514,nan,-,-,-,-,-
11,0.44,-948910,210.75566069351635,nan,-,-,-,-,-
12,0.48,-951261,736.2658677154895,nan,-,-,-,-,-
13,0.52,-950942,1091.3249279001475,nan,-,-,-,-,-
14,0.56,-951349,1438.0198577528636,nan,-,-,-,-,-
15,0.6,-954170,1893.0898662823784,nan,-,-,-,-,-
16,0.64,-955984,2238.781608495354,nan,-,-,-,-,-
17,0.68,-957897,2166.966183416197,nan,-,-,-,-,-
18,0.72,-958642,1336.8008167917455,nan,-,-,-,-,-
19,0.76,-958882,-52.4880959666134,nan,-,-,-,-,-
20,0.8,-960337,-1277.0791526062123,nan,-,-,-,-,-
21,0.84,-960307,-1829.3365221687343,nan,-,-,-,-,-
22,0.88,-960638,-1635.5574111856833,nan,-,-,-,-,-
23,0.92,-961177,-1166.741170881499,nan,-,-,-,-,-
24,0.96,-956297,-1042.5178271060122,nan,-,-,-,-,-
25,1.0,-946313,-1302.8215054218945,nan,-,-,-,-,-
26,1.04,-942093,-1346.9793921394667,nan,-,-,-,-,-
27,1.08,-941995,-1026.414937414599,nan,-,-,-,-,-
28,1.12,-944930,-423.8325244820609,nan,-,-,-,-,-
29,1.16,-948626,201.932925153445,nan,-,-,-,-,-
30,1.2,-951664,688.0954051715698,nan,-,-,-,-,-
31,1.24,-951144,976.2003138582913,nan,-,-,-,-,-
32,1.28,-951599,1332.692271333157,nan,-,-,-,-,-
33,1.32,-953722,1835.879935002713,nan,-,-,-,-,-
34,1.36,-954947,2229.9458253962603,nan,-,-,-,-,-
35,1.4,-955561,2124.4687316859913,nan,-,-,-,-,-
36,1.44,-958199,1322.2280200467767,nan,-,-,-,-,-
37,1.48,-960024,-21.857350652676814,nan,-,-,-,-,-
38,1.52,-959984,-1255.6805005893484,nan,-,-,-,-,-
39,1.56,-959920,-1772.0974930584682,nan,-,-,-,-,-
40,1.6,-960700,-1552.6659297465962,nan,-,-,-,-,-
41,1.64,-960660,-1083.9085847229287,nan,-,-,-,-,-
42,1.68,-958576,-822.0157151632011,nan,-,-,-,-,-
43,1.72,-948988,-1035.5197051677278,nan,-,-,-,-,-
44,1.76,-942498,-1207.356723093164,nan,-,-,-,-,-
45,1.8,-941683,-1070.589118159688,nan,-,-,-,-,-
46,1.84,-943663,-671.9855593067377,nan,-,-,-,-,-
47,1.88,-947292,-94.70621135069996,nan,-,-,-,-,-
48,1.92,-950280,498.02290745208757,nan,-,-,-,-,-
49,1.96,-952135,987.900836193362,nan,-,-,-,-,-
50,2.0,-950699,1290.3160026458104,nan,-,-,-,-,-
51,2.04,-953382,1734.4459262106502,nan,-,-,-,-,-
52,2.08,-955697,2161.239943091744,nan,-,-,-,-,-
53,2.12,-956683,2231.3146422851437,nan,-,-,-,-,-
54,2.16,-958313,1630.3495238408118,nan,-,-,-,-,-
55,2.2,-959069,353.46165604411044,nan,-,-,-,-,-
56,2.24,-960161,-972.5521734510888,nan,-,-,-,-,-
57,2.28,-960918,-1720.816126433049,nan,-,-,-,-,-
58,2.32,-961458,-1716.4270375203296,nan,-,-,-,-,-
59,2.36,-960738,-1327.683581400548,nan,-,-,-,-,-
60,2.4,-959856,-974.8480556383524,nan,-,-,-,-,-
61,2.44,-952116,-1068.8951185358646,nan,-,-,-,-,-
62,2.48,-943588,-1278.7271522315514,nan,-,-,-,-,-
63,2.52,-941063,-1158.1670351163993,nan,-,-,-,-,-
64,2.56,-942743,-708.5873027476468,nan,-,-,-,-,-
65,2.6,-946977,-100.14683091441566,nan,-,-,-,-,-
66,2.64,-949794,423.3416894638631,nan,-,-,-,-,-
67,2.68,-951266,844.7417163329101,nan,-,-,-,-,-
68,2.72,-950675,1195.011763967097,nan,-,-,-,-,-
69,2.76,-952737,1680.2173271350293,nan,-,-,-,-,-
70,2.8,-954602,2151.581652990769,nan,-,-,-,-,-
71,2.84,-957267,2373.9786334157952,nan,-,-,-,-,-
72,2.88,-957539,1883.0561185558004,nan,-,-,-,-,-
73,2.92,-959287,730.5333854551241,nan,-,-,-,-,-
74,2.96,-959306,-714.379859736717,nan,-,-,-,-,-
75,3.0,-960292,-1656.8786278117284,66,66.0,-,-,-,-
76,3.04,-960814,-1805.9119890121847,66,-,-,-,-,-
77,3.08,-960735,-1429.362765638222,66,-,-,-,-,-
78,3.12,-957382,-1124.1274126852768,66,-,-,-,-,-
79,3.16,-946569,-1290.8697675212152,66,-,-,-,-,-
80,3.2,-941683,-1377.8500820492027,66,-,-,-,-,-
81,3.24,-941766,-1161.7361789833185,66,-,-,-,-,-
82,3.28,-945083,-615.9303559001571,66,-,-,-,-,-
83,3.32,-948570,26.777868902587215,66,-,-,-,-,-
84,3.36,-951561,579.0149705641516,66,-,-,-,-,-
85,3.4,-950532,897.1664136362069,66,-,-,-,-,-
86,3.44,-950163,1240.9610418026468,66,-,-,-,-,-
87,3.48,-953104,1787.209279289451,66,-,-,-,-,-
88,3.52,-955426,2266.5907858674454,66,-,-,-,-,-
89,3.56,-957728,2285.298269813219,66,-,-,-,-,-
90,3.6,-959057,1480.2839198237662,66,-,-,-,-,-
91,3.64,-959237,57.6462877056224,66,-,-,-,-,-
92,3.68,-961150,-1172.6583887426968,66,-,-,-,-,-
93,3.72,-961223,-1713.170495347877,66,-,-,-,-,-
94,3.76,-961101,-1508.3809854035085,66,-,-,-,-,-
95,3.8,-960998,-1045.6481316457866,66,-,-,-,-,-
96,3.84,-959397,-851.0383166907891,66,-,-,-,-,-
97,3.88,-948117,-1253.380267936478,66,-,-,-,-,-
98,3.92,-940588,-1526.1508653282126,66,-,-,-,-,-
99,3.96,-941667,-1237.4600769132612,66,-,-,-,-,-
100,4.0,-944113,-633.8355648620907,66,-,-,-,-,-
101,4.04,-947671,63.40643294535448,66,-,-,-,-,-
102,4.08,-951798,672.5357470025956,66,-,-,-,-,-
103,4.12,-951263,1021.8976940243174,66,-,-,-,-,-
104,4.16,-951566,1386.7635091035645,66,-,-,-,-,-
105,4.2,-952865,1849.3585182212546,66,-,-,-,-,-
106,4.24,-955448,2321.9926413869944,66,-,-,-,-,-
107,4.28,-956952,2368.278339511344,66,-,-,-,-,-
108,4.32,-959686,1675.619296867113,66,-,-,-,-,-
109,4.36,-959342,202.39330199862388,66,-,-,-,-,-
110,4.4,-959914,-1223.0252136578715,66,-,-,-,-,-
111,4.44,-960680,-1909.346592238352,66,-,-,-,-,-
112,4.48,-961489,-1751.3797151103631,66,-,-,-,-,-
113,4.52,-962098,-1212.3240175497876,66,-,-,-,-,-
114,4.56,-961020,-857.6039477252734,66,-,-,-,-,-
115,4.6,-950020,-1122.2279713525277,66,-,-,-,-,-
116,4.64,-942136,-1387.4980184289197,66,-,-,-,-,-
117,4.68,-941318,-1242.8103251873636,66,-,-,-,-,-
118,4.72,-944818,-689.1723304774741,66,-,-,-,-,-
119,4.76,-950613,61.86354709227999,66,-,-,-,-,-
120,4.8,-951911,580.3496760914559,66,-,-,-,-,-
121,4.84,-951071,862.549317883931,66,-,-,-,-,-
122,4.88,-951696,1147.7957521385347,66,-,-,-,-,-
123,4.92,-952431,1578.1998109534443,66,-,-,-,-,-
124,4.96,-954994,2168.855522852402,66,-,-,-,-,-
125,5.0,-956170,2396.6897828354877,66,-,-,-,-,-
126,5.04,-957295,1798.661009032537,66,-,-,-,-,-
127,5.08,-959412,425.42116599529527,66,-,-,-,-,-
128,5.12,-959620,-1079.6092408328104,66,-,-,-,-,-
129,5.16,-960849,-1782.0975306366258,66,-,-,-,-,-
130,5.2,-961552,-1562.610227160271,66,-,-,-,-,-
131,5.24,-962376,-951.7013686595279,66,-,-,-,-,-
132,5.28,-960656,-657.4397561589617,66,-,-,-,-,-
133,5.32,-950094,-1016.4870227249266,66,-,-,-,-,-
134,5.36,-943659,-1319.4776873636256,66,-,-,-,-,-
135,5.4,-943010,-1225.7338733258584,66,-,-,-,-,-
136,5.44,-943996,-837.5450284083481,66,-,-,-,-,-
137,5.48,-946887,-284.79523047810176,66,-,-,-,-,-
138,5.52,-950442,265.12343468551535,66,-,-,-,-,-
139,5.56,-951453,677.7523691398055,66,-,-,-,-,-
140,5.6,-949335,1003.0992756884339,66,-,-,-,-,-
141,5.64,-952977,1617.1629871181876,66,-,-,-,-,-
142,5.68,-954936,2199.406568273429,66,-,-,-,-,-
143,5.72,-957353,2444.6189510517243,66,-,-,-,-,-
144,5.76,-958663,1895.8252871654877,66,-,-,-,-,-
145,5.8,-960182,650.2807526048564,66,-,-,-,-,-
146,5.84,-960258,-732.3985060714774,66,-,-,-,-,-
147,5.88,-961400,-1516.4685408183898,66,-,-,-,-,-
148,5.92,-961038,-1613.4732944807827,66,-,-,-,-,-
149,5.96,-960659,-1298.6630521466545,66,-,-,-,-,-
150,6.0,-957992,-1091.2686915559816,64,65.0,-,-,-,-
151,6.04,-944466,-1454.286734445188,64,-,-,-,-,-
152,6.08,-942315,-1505.844184959884,64,-,-,-,-,-
153,6.12,-944243,-1214.5642238984856,64,-,-,-,-,-
154,6.16,-946951,-631.376739161128,64,-,-,-,-,-
155,6.2,-950972,91.05063859182064,64,-,-,-,-,-
156,6.24,-951324,610.7461282795566,64,-,-,-,-,-
157,6.28,-950213,963.3823473298094,64,-,-,-,-,-
158,6.32,-951930,1388.1906393173217,64,-,-,-,-,-
159,6.36,-954367,1896.212718576142,64,-,-,-,-,-
160,6.4,-957225,2318.297137257863,64,-,-,-,-,-
