muestra,tiempo,ppg,ppg filtrado,spi,spi_promedio,estado,tipo evento,evento
1,0.04,-1430742,-672.7818559001807,nan,-,-,-,-
2,0.08,-1430663,-537.4889799665998,nan,-,-,-,-
3,0.12,-1432778,-314.5028702326895,nan,-,-,-,-
4,0.16,-1434078,-106.91149401880489,nan,-,-,-,-
5,0.2,-1434342,74.77491132850696,nan,-,-,-,-
6,0.24,-1434844,269.7311283715969,nan,-,-,-,-
7,0.28,-1435025,490.2642420505397,nan,-,-,-,-
8,0.32,-1436020,832.0766549776176,nan,-,-,-,-
9,0.36,-1437153,1244.352741398266,nan,-,-,-,-
10,0.4,-1438815,1499.3727819806272,nan,-,-,-,-
11,0.44,-1439635,1240.8730146773423,nan,-,-,-,-
12,0.48,-1440427,487.5363067395158,nan,-,-,-,-
13,0.52,-1441416,-327.05278211588757,nan,-,-,-,-
14,0.56,-1442139,-754.4123759396495,nan,-,-,-,-
15,0.6,-1442779,-731.0151900200595,nan,-,-,-,-
16,0.64,-1443274,-553.8728801641457,nan,-,-,-,-
17,0.68,-1444101,-471.29527650754767,nan,-,-,-,-
18,0.72,-1444381,-532.3057262796265,nan,-,-,-,-
19,0.76,-1436727,-841.5565697927568,nan,-,-,-,-
20,0.8,-1433459,-892.0608730006879,nan,-,-,-,-
21,0.84,-1434304,-682.4793303629376,nan,-,-,-,-
22,0.88,-1436332,-370.2834678902327,nan,-,-,-,-
23,0.92,-1437563,-85.68909208302057,nan,-,-,-,-
24,0.96,-1438531,157.4125963478998,nan,-,-,-,-
25,1.0,-1437774,318.95255510478364,nan,-,-,-,-
26,1.04,-1437220,507.1944215330062,nan,-,-,-,-
27,1.08,-1438173,825.234263872447,nan,-,-,-,-
28,1.12,-1439558,1199.261738787603,nan,-,-,-,-
29,1.16,-1440459,1357.884172357842,nan,-,-,-,-
30,1.2,-1441077,1029.4366772165886,nan,-,-,-,-
31,1.24,-1442505,304.7991288418857,nan,-,-,-,-
32,1.28,-1442615,-431.4036999883284,nan,-,-,-,-
33,1.32,-1443778,-687.8345662594616,nan,-,-,-,-
34,1.36,-1444479,-529.5700449867803,nan,-,-,-,-
35,1.4,-1445246,-277.21214061255694,nan,-,-,-,-
36,1.44,-1445987,-208.9003641010558,nan,-,-,-,-
37,1.48,-1443212,-440.743857826531,nan,-,-,-,-
38,1.52,-1435704,-827.4320838797576,nan,-,-,-,-
39,1.56,-1436401,-798.2665918883731,nan,-,-,-,-
40,1.6,-1438101,-581.4905041942902,nan,-,-,-,-
41,1.64,-1439060,-326.49291560561284,nan,-,-,-,-
42,1.68,-1440593,-68.99898518784403,nan,-,-,-,-
43,1.72,-1440463,99.27048118652465,nan,-,-,-,-
44,1.76,-1439406,238.8590470294256,nan,-,-,-,-
45,1.8,-1439789,498.90722258499864,nan,-,-,-,-
46,1.84,-1441675,900.8937444318167,nan,-,-,-,-
47,1.88,-1442395,1200.902663947767,nan,-,-,-,-
48,1.92,-1443698,1160.3013694595666,nan,-,-,-,-
49,1.96,-1444244,613.7127952890976,nan,-,-,-,-
50,2.0,-1444860,-120.06792314186714,nan,-,-,-,-
51,2.04,-1445784,-562.3205284866339,nan,-,-,-,-
52,2.08,-1446363,-558.7728504331915,nan,-,-,-,-
53,2.12,-1447005,-326.8332783364493,nan,-,-,-,-
54,2.16,-1447674,-190.2013979793615,nan,-,-,-,-
55,2.2,-1448227,-266.8949797481073,nan,-,-,-,-
56,2.24,-1444889,-550.1069404177515,nan,-,-,-,-
57,2.28,-1437879,-839.6850583622318,nan,-,-,-,-
58,2.32,-1436910,-753.7167174860151,nan,-,-,-,-
59,2.36,-1438396,-482.26626666635366,nan,-,-,-,-
