muestra,tiempo,ppg,ppg filtrado,spi,spi_promedio,estado,tipo evento,evento
1,0.04,-1309892,-2214.484769464499,nan,-,-,-,-,-
2,0.08,-1311553,-1131.2800694883604,nan,-,-,-,-,-
3,0.12,-1314783,86.49814143834374,nan,-,-,-,-,-
4,0.16,-1313658,1269.3515006806501,nan,-,-,-,-,-
5,0.2,-1313270,2784.5864484602225,nan,-,-,-,-,-
6,0.24,-1316520,4570.269071531901,nan,-,-,-,-,-
7,0.28,-1321843,5619.804375643011,nan,-,-,-,-,-
8,0.32,-1326760,4739.938386405098,nan,-,-,-,-,-
9,0.36,-1331971,2104.763125687461,nan,-,-,-,-,-
10,0.4,-1336684,-650.764581501363,nan,-,-,-,-,-
11,0.44,-1340895,-1986.2812513624776,nan,-,-,-,-,-
12,0.48,-1344979,-1863.8703754109583,nan,-,-,-,-,-
13,0.52,-1348761,-1287.245980421818,nan,-,-,-,-,-
14,0.56,-1352544,-1029.0939595013954,nan,-,-,-,-,-
15,0.6,-1356842,-1215.217673720898,nan,-,-,-,-,-
16,0.64,-1331085,-2580.9061115388395,nan,-,-,-,-,-
17,0.68,-1302990,-3852.089086799766,nan,-,-,-,-,-
18,0.72,-1301522,-3778.7839057435413,nan,-,-,-,-,-
19,0.76,-1306207,-2951.9122081641544,nan,-,-,-,-,-
20,0.8,-1308156,-1839.5437855315554,nan,-,-,-,-,-
21,0.84,-1308046,-683.7168263547464,nan,-,-,-,-,-
22,0.88,-1311613,544.0745034762431,nan,-,-,-,-,-
23,0.92,-1311710,1722.0052578269551,nan,-,-,-,-,-
24,0.96,-1311931,3283.000000403499,nan,-,-,-,-,-
25,1.0,-1315696,5347.735006755103,nan,-,-,-,-,-
26,1.04,-1321650,6950.208202163149,nan,-,-,-,-,-
27,1.08,-1327823,6568.905777715592,nan,-,-,-,-,-
28,1.12,-1334165,3830.466338113569,nan,-,-,-,-,-
29,1.16,-1338539,241.5429190974919,nan,-,-,-,-,-
30,1.2,-1342508,-2086.1857422464036,nan,-,-,-,-,-
31,1.24,-1346765,-2582.67840697862,nan,-,-,-,-,-
32,1.28,-1351079,-2218.8278277364257,nan,-,-,-,-,-
33,1.32,-1355436,-2009.6349092693183,nan,-,-,-,-,-
34,1.36,-1357726,-2283.6786745131158,nan,-,-,-,-,-
35,1.4,-1319862,-3987.0654902355236,nan,-,-,-,-,-
36,1.44,-1301281,-4810.090013158231,nan,-,-,-,-,-
37,1.48,-1303295,-4409.9365863949715,nan,-,-,-,-,-
38,1.52,-1307711,-3318.4568490843376,nan,-,-,-,-,-
39,1.56,-1309296,-1929.2355335549432,nan,-,-,-,-,-
40,1.6,-1310598,-511.70847305822326,nan,-,-,-,-,-
41,1.64,-1313660,816.2507038803906,nan,-,-,-,-,-
42,1.68,-1312807,2085.2363315986586,nan,-,-,-,-,-
43,1.72,-1312496,3844.3399104156433,nan,-,-,-,-,-
44,1.76,-1315554,6029.773377547355,nan,-,-,-,-,-
45,1.8,-1320540,7342.199100908476,nan,-,-,-,-,-
46,1.84,-1325691,6260.25186840714,nan,-,-,-,-,-
47,1.88,-1331636,2964.398982902907,nan,-,-,-,-,-
48,1.92,-1336581,-535.7286607221267,nan,-,-,-,-,-
49,1.96,-1341223,-2310.9362883958393,nan,-,-,-,-,-
50,2.0,-1345556,-2328.0306697617834,nan,-,-,-,-,-
51,2.04,-1349467,-1783.9946824526692,nan,-,-,-,-,-
52,2.08,-1353831,-1547.3989091137703,nan,-,-,-,-,-
53,2.12,-1358149,-1763.7813465431846,nan,-,-,-,-,-
54,2.16,-1361114,-2217.0636837824695,nan,-,-,-,-,-
55,2.2,-1322734,-3859.950339057934,nan,-,-,-,-,-
56,2.24,-1302841,-4490.610608387637,nan,-,-,-,-,-
57,2.28,-1306859,-3823.2409714710775,nan,-,-,-,-,-
58,2.32,-1312200,-2680.0252448933115,nan,-,-,-,-,-
59,2.36,-1314267,-1421.919160935017,nan,-,-,-,-,-
60,2.4,-1317853,-117.97182649070419,nan,-,-,-,-,-
61,2.44,-1317020,956.2963884163319,nan,-,-,-,-,-
62,2.48,-1315931,2147.607088029027,nan,-,-,-,-,-
63,2.52,-1319226,3970.327582317477,nan,-,-,-,-,-
64,2.56,-1324067,6161.491956749607,nan,-,-,-,-,-
65,2.6,-1329177,7413.498910792363,nan,-,-,-,-,-
66,2.64,-1334504,6221.043135369004,nan,-,-,-,-,-
67,2.68,-1339571,2728.6506162300593,nan,-,-,-,-,-
68,2.72,-1343759,-915.5452166821924,nan,-,-,-,-,-
69,2.76,-1347501,-2674.6782701366737,nan,-,-,-,-,-
70,2.8,-1351087,-2532.586804541869,nan,-,-,-,-,-
71,2.84,-1355092,-1854.399165026139,nan,-,-,-,-,-
72,2.88,-1330355,-2611.29663756672,nan,-,-,-,-,-
73,2.92,-1306109,-3850.6136237726205,nan,-,-,-,-,-
74,2.96,-1305656,-4221.634157094439,nan,-,-,-,-,-
76,3.04,-1317477,-2746.313602768725,nan,-,-,-,-,-
77,3.08,-1320987,-1439.3743507922072,nan,-,-,-,-,-
78,3.12,-1325678,-57.355477166580386,nan,-,-,-,-,-
79,3.16,-1324125,1151.4113902064173,nan,-,-,-,-,-
80,3.2,-1321630,2607.6643104046325,nan,-,-,-,-,-
81,3.24,-1323841,4493.6702721624815,nan,-,-,-,-,-
82,3.28,-1329054,5905.238579077157,nan,-,-,-,-,-
83,3.32,-1334791,5438.964402936801,nan,-,-,-,-,-
84,3.36,-1340866,2804.4247246847917,nan,-,-,-,-,-
85,3.4,-1347270,-458.6281238148058,nan,-,-,-,-,-
86,3.44,-1352967,-2387.9215553570457,nan,-,-,-,-,-
87,3.48,-1358048,-2411.231791263417,nan,-,-,-,-,-
88,3.52,-1362295,-1476.9963827774031,nan,-,-,-,-,-
89,3.56,-1366552,-722.9695335338403,nan,-,-,-,-,-
90,3.6,-1353044,-1238.1273502443528,nan,-,-,-,-,-
91,3.64,-1311818,-3174.384482575937,nan,-,-,-,-,-
92,3.68,-1304038,-4019.7365214734236,nan,-,-,-,-,-
93,3.72,-1309039,-3905.47350668949,nan,-,-,-,-,-
94,3.76,-1312253,-3120.620536692655,nan,-,-,-,-,-
95,3.8,-1313143,-1890.2775302339944,nan,-,-,-,-,-
96,3.84,-1316586,-381.2375275327413,nan,-,-,-,-,-
97,3.88,-1316210,1099.362540932003,nan,-,-,-,-,-
98,3.92,-1316278,2907.686359103076,nan,-,-,-,-,-
99,3.96,-1320406,5290.528683468188,nan,-,-,-,-,-
100,4.0,-1325324,7437.853320087883,nan,-,-,-,-,-
101,4.04,-1330658,7770.603626652974,nan,-,-,-,-,-
102,4.08,-1335906,5324.560720834626,nan,-,-,-,-,-
103,4.12,-1340505,1258.3661016536844,nan,-,-,-,-,-
104,4.16,-1344399,-1970.232938421429,nan,-,-,-,-,-
105,4.2,-1347890,-3049.5332219017055,nan,-,-,-,-,-
106,4.24,-1351469,-2680.358935538147,nan,-,-,-,-,-
107,4.28,-1353656,-2259.8650431458204,nan,-,-,-,-,-
108,4.32,-1318434,-3525.9789297958378,nan,-,-,-,-,-
109,4.36,-1299571,-4486.289219608108,nan,-,-,-,-,-
110,4.4,-1301218,-4482.6606478802205,nan,-,-,-,-,-
111,4.44,-1305178,-3800.0833833842535,nan,-,-,-,-,-
112,4.48,-1306677,-2652.5210412444158,nan,-,-,-,-,-
113,4.52,-1307500,-1274.5762541949825,nan,-,-,-,-,-
114,4.56,-1310673,193.4827787207887,nan,-,-,-,-,-
115,4.6,-1310304,1632.3164566403548,nan,-,-,-,-,-
