muestra,tiempo,ppg,ppg filtrado,spi,spi_promedio,estado,tipo evento,evento,alarma
1,0.04,-1001097,-1697.6967606452813,nan,-,-,-,-,-
2,0.08,-1000805,-1859.6975337922731,nan,-,-,-,-,-
3,0.12,-1000753,-1384.8059825111363,nan,-,-,-,-,-
4,0.16,-1000967,-860.7152988321932,nan,-,-,-,-,-
5,0.2,-996515,-819.0345335066568,nan,-,-,-,-,-
6,0.24,-984064,-1302.18788721499,nan,-,-,-,-,-
7,0.28,-981648,-1419.0899597928747,nan,-,-,-,-,-
8,0.32,-981768,-1181.6010947627947,nan,-,-,-,-,-
9,0.36,-984411,-599.0873633649765,nan,-,-,-,-,-
10,0.4,-989030,142.6506487764973,nan,-,-,-,-,-
11,0.44,-990212,707.6459884239912,nan,-,-,-,-,-
12,0.48,-989464,1103.480885545685,nan,-,-,-,-,-
13,0.52,-989860,1509.139404677775,nan,-,-,-,-,-
14,0.56,-992777,2034.962375531336,nan,-,-,-,-,-
15,0.6,-994022,2394.8771269852596,nan,-,-,-,-,-
16,0.64,-997164,2299.426210244871,nan,-,-,-,-,-
17,0.68,-998489,1349.4737839738905,nan,-,-,-,-,-
18,0.72,-1000610,-69.76597990421669,nan,-,-,-,-,-
19,0.76,-1001166,-1282.1806181927325,nan,-,-,-,-,-
20,0.8,-1002713,-1673.3634711104512,nan,-,-,-,-,-
21,0.84,-1002435,-1439.339473790765,nan,-,-,-,-,-
22,0.88,-1003010,-1011.884520273441,nan,-,-,-,-,-
23,0.92,-1000324,-935.1942507870963,nan,-,-,-,-,-
24,0.96,-989957,-1349.9828930709846,nan,-,-,-,-,-
25,1.0,-982188,-1640.4514340798669,nan,-,-,-,-,-
26,1.04,-982856,-1398.2806155359476,nan,-,-,-,-,-
27,1.08,-985063,-857.4760978825998,nan,-,-,-,-,-
28,1.12,-987550,-205.2995026339263,nan,-,-,-,-,-
29,1.16,-991471,462.41214969034627,nan,-,-,-,-,-
30,1.2,-991099,918.6117190398627,nan,-,-,-,-,-
31,1.24,-990317,1343.262622613889,nan,-,-,-,-,-
32,1.28,-993800,1957.4738435195031,nan,-,-,-,-,-
33,1.32,-994668,2442.0363598041167,nan,-,-,-,-,-
34,1.36,-995586,2514.5089602253056,nan,-,-,-,-,-
35,1.4,-998217,1852.1826049931506,nan,-,-,-,-,-
36,1.44,-999500,468.7122616847673,nan,-,-,-,-,-
37,1.48,-999307,-954.9295317973939,nan,-,-,-,-,-
38,1.52,-1001594,-1615.108243129881,nan,-,-,-,-,-
39,1.56,-1001463,-1574.5978551690337,nan,-,-,-,-,-
40,1.6,-1001865,-1163.9857844949481,nan,-,-,-,-,-
41,1.64,-1001239,-892.9417515864802,nan,-,-,-,-,-
42,1.68,-993749,-1078.3288887425406,nan,-,-,-,-,-
43,1.72,-985022,-1358.0286525053143,nan,-,-,-,-,-
44,1.76,-983064,-1266.737985160069,nan,-,-,-,-,-
45,1.8,-983803,-900.5561935145015,nan,-,-,-,-,-
46,1.84,-987926,-323.9334776109606,nan,-,-,-,-,-
47,1.88,-991412,236.30017587191105,nan,-,-,-,-,-
48,1.92,-992238,660.4970559770618,nan,-,-,-,-,-
49,1.96,-990608,983.5574464641236,nan,-,-,-,-,-
