muestra,tiempo,ppg,ppg filtrado,spi,spi_promedio,estado,tipo evento,evento
1,0.04,-1300966,-2249.110109974806,nan,-,-,-,-,-
2,0.08,-1303952,-2580.0883756262842,nan,-,-,-,-,-
3,0.12,-1262609,-4412.664852649636,nan,-,-,-,-,-
4,0.16,-1239668,-5409.68767508943,nan,-,-,-,-,-
5,0.2,-1239109,-5134.927184040858,nan,-,-,-,-,-
6,0.24,-1241441,-4116.7031665261875,nan,-,-,-,-,-
7,0.28,-1240653,-2718.526712729573,nan,-,-,-,-,-
8,0.32,-1242675,-1050.625998470666,nan,-,-,-,-,-
9,0.36,-1245912,639.411756588891,nan,-,-,-,-,-
10,0.4,-1244275,2296.117017440796,nan,-,-,-,-,-
11,0.44,-1245557,4517.125688256516,nan,-,-,-,-,-
12,0.48,-1251763,7200.412556683734,nan,-,-,-,-,-
13,0.52,-1257640,8865.598291503928,nan,-,-,-,-,-
14,0.56,-1264726,7933.404706733909,nan,-,-,-,-,-
15,0.6,-1271335,4377.110164923079,nan,-,-,-,-,-
16,0.64,-1277003,316.68785000148455,nan,-,-,-,-,-
17,0.68,-1281840,-2115.8552941157523,nan,-,-,-,-,-
18,0.72,-1287269,-2651.2004910569576,nan,-,-,-,-,-
19,0.76,-1290661,-2505.997017626074,nan,-,-,-,-,-
20,0.8,-1258680,-3662.62974804841,nan,-,-,-,-,-
21,0.84,-1236612,-4779.066945162704,nan,-,-,-,-,-
22,0.88,-1237453,-5079.194107995019,nan,-,-,-,-,-
23,0.92,-1242309,-4758.196897197367,nan,-,-,-,-,-
24,0.96,-1244121,-3864.986202071259,nan,-,-,-,-,-
25,1.0,-1248238,-2388.100718587319,nan,-,-,-,-,-
26,1.04,-1250534,-761.9426404859414,nan,-,-,-,-,-
27,1.08,-1247077,825.5250815306949,nan,-,-,-,-,-
28,1.12,-1248226,2919.237280550822,nan,-,-,-,-,-
29,1.16,-1253579,5391.078746499663,nan,-,-,-,-,-
