muestra,tiempo,ppg,ppg filtrado,spi,spi_promedio,estado,tipo evento,evento,alarma,limites_alarma,descripcion_alarma
1,0.04,-16775490,8.65133692771545,nan,-,-,-,-,-,"[50, 20, 15]",-
2,0.08,-16775529,15.316188282554403,nan,-,-,-,-,-,"[50, 20, 15]",-
3,0.12,-16775447,10.253626948346815,nan,-,-,-,-,-,"[50, 20, 15]",-
4,0.16,-16775553,12.36700352017617,nan,-,-,-,-,-,"[50, 20, 15]",-
5,0.2,-16775515,-22.456814139032936,nan,-,-,-,-,-,"[50, 20, 15]",-
6,0.24,-16775482,-9.216369691900852,nan,-,-,-,-,-,"[50, 20, 15]",-
7,0.28,-16775512,-4.013778189521846,nan,-,-,-,-,-,"[50, 20, 15]",-
8,0.32,-16775421,-4.35684895885522,nan,-,-,-,-,-,"[50, 20, 15]",-
9,0.36,-16775431,-17.281572106916414,nan,-,-,-,-,-,"[50, 20, 15]",-
10,0.4,-16775484,-10.799115515693604,nan,-,-,-,-,-,"[50, 20, 15]",-
11,0.44,-16775455,-25.062204139710875,nan,-,-,-,-,-,"[50, 20, 15]",-
12,0.48,-16775503,-19.346358474880443,nan,-,-,-,-,-,"[50, 20, 15]",-
13,0.52,-16775572,-6.150861493940272,nan,-,-,-,-,-,"[50, 20, 15]",-
14,0.56,-16775496,-1.2986094683921625,nan,-,-,-,-,-,"[50, 20, 15]",-
15,0.6,-16775431,-17.11638185654898,nan,-,-,-,-,-,"[50, 20, 15]",-
16,0.64,-16775536,10.083999644952861,nan,-,-,-,-,-,"[50, 20, 15]",-
17,0.68,-16775466,2.8445190454857743,nan,-,-,-,-,-,"[50, 20, 15]",-
18,0.72,-16775506,0.8089415669059126,nan,-,-,-,-,-,"[50, 20, 15]",-
19,0.76,-16775536,9.68890507997227,nan,-,-,-,-,-,"[50, 20, 15]",-
20,0.8,-16775470,-11.008625292827443,nan,-,-,-,-,-,"[50, 20, 15]",-
21,0.84,-16775478,-11.610776806648213,nan,-,-,-,-,-,"[50, 20, 15]",-
22,0.88,-16775465,-3.2757986384499436,nan,-,-,-,-,-,"[50, 20, 15]",-
23,0.92,-16775548,-9.260888800063245,nan,-,-,-,-,-,"[50, 20, 15]",-
24,0.96,-16775446,-5.71685867936014,nan,-,-,-,-,-,"[50, 20, 15]",-
25,1.0,-16775500,13.478766679900081,nan,-,-,-,-,-,"[50, 20, 15]",-
26,1.04,-16775502,2.7168575861275404,nan,-,-,-,-,-,"[50, 20, 15]",-
27,1.08,-16775514,-10.10474404352983,nan,-,-,-,-,-,"[50, 20, 15]",-
28,1.12,-16775473,7.453870989535893,nan,-,-,-,-,-,"[50, 20, 15]",-
29,1.16,-16775514,-3.2880943877786515,nan,-,-,-,-,-,"[50, 20, 15]",-
30,1.2,-16775532,3.925849578300916,nan,-,-,-,-,-,"[50, 20, 15]",-
31,1.24,-16775546,12.79363496004677,nan,-,-,-,-,-,"[50, 20, 15]",-
32,1.28,-16775493,-0.7860075987767503,nan,-,-,-,-,-,"[50, 20, 15]",-
33,1.32,-16775480,-0.299502593405656,nan,-,-,-,-,-,"[50, 20, 15]",-
34,1.36,-16775574,-1.2199584736100275,nan,-,-,-,-,-,"[50, 20, 15]",-
35,1.4,-16775557,15.037508281612286,nan,-,-,-,-,-,"[50, 20, 15]",-
36,1.44,-16775507,-6.885991440326943,nan,-,-,-,-,-,"[50, 20, 15]",-
37,1.48,-16775507,1.584840896302343,nan,-,-,-,-,-,"[50, 20, 15]",-
38,1.52,-16775473,-0.5269324331179774,nan,-,-,-,-,-,"[50, 20, 15]",-
39,1.56,-16775400,-1.1093681058578326,nan,-,-,-,-,-,"[50, 20, 15]",-
40,1.6,-16775404,-10.498722245105151,nan,-,-,-,-,-,"[50, 20, 15]",-
41,1.64,-16775437,-3.0956550273259804,nan,-,-,-,-,-,"[50, 20, 15]",-
42,1.68,-16775447,4.126785646654291,nan,-,-,-,-,-,"[50, 20, 15]",-
43,1.72,-16775539,12.010165363758366,nan,-,-,-,-,-,"[50, 20, 15]",-
44,1.76,-16775513,2.2368878075238614,nan,-,-,-,-,-,"[50, 20, 15]",-
45,1.8,-16775649,53.49786907559089,nan,-,-,-,-,-,"[50, 20, 15]",-
46,1.84,-16775581,20.340161256215012,nan,-,-,-,-,-,"[50, 20, 15]",-
47,1.88,-16775485,16.942446710642265,nan,-,-,-,-,-,"[50, 20, 15]",-
48,1.92,-16775498,14.744488946255814,nan,-,-,-,-,-,"[50, 20, 15]",-
49,1.96,-16775371,9.299446821436417,nan,-,-,-,-,-,"[50, 20, 15]",-
50,2.0,-16775441,-0.6490531424233141,nan,-,-,-,-,-,"[50, 20, 15]",-
51,2.04,-16775390,-13.632586001194092,nan,-,-,-,-,-,"[50, 20, 15]",-
52,2.08,-16775456,-14.725488185296367,nan,-,-,-,-,-,"[50, 20, 15]",-
53,2.12,-16775531,-21.6763664702223,nan,-,-,-,-,-,"[50, 20, 15]",-
54,2.16,-16775533,-22.755889540497073,nan,-,-,-,-,-,"[50, 20, 15]",-
55,2.2,-16775471,-0.10642963760039872,nan,-,-,-,-,-,"[50, 20, 15]",-
56,2.24,-16775492,-18.687664065416055,nan,-,-,-,-,-,"[50, 20, 15]",-
57,2.28,-16775459,44.5140739232547,nan,-,-,-,-,-,"[50, 20, 15]",-
58,2.32,-16775535,27.154577081871047,nan,-,-,-,-,-,"[50, 20, 15]",-
59,2.36,-16775477,12.165370717588049,nan,-,-,-,-,-,"[50, 20, 15]",-
60,2.4,-16775521,15.228420147693331,nan,-,-,-,-,-,"[50, 20, 15]",-
61,2.44,-16775511,-22.90246478423695,nan,-,-,-,-,-,"[50, 20, 15]",-
62,2.48,-16775510,-2.942940716524642,nan,-,-,-,-,-,"[50, 20, 15]",-
63,2.52,-16775443,-21.497034356885106,nan,-,-,-,-,-,"[50, 20, 15]",-
64,2.56,-16775462,-13.427368813727504,nan,-,-,-,-,-,"[50, 20, 15]",-
65,2.6,-16775527,8.835745551818148,nan,-,-,-,-,-,"[50, 20, 15]",-
66,2.64,-16775479,8.972592409209305,nan,-,-,-,-,-,"[50, 20, 15]",-
67,2.68,-16775532,31.8158803466764,nan,-,-,-,-,-,"[50, 20, 15]",-
68,2.72,-16775483,-2.968898118746225,nan,-,-,-,-,-,"[50, 20, 15]",-
69,2.76,-16775497,-13.271325783082844,nan,-,-,-,-,-,"[50, 20, 15]",-
70,2.8,-16775586,5.294638377343817,nan,-,-,-,-,-,"[50, 20, 15]",-
71,2.84,-16775534,-3.141862178042815,nan,-,-,-,-,-,"[50, 20, 15]",-
72,2.88,-16775566,13.029144680983876,nan,-,-,-,-,-,"[50, 20, 15]",-
73,2.92,-16775546,9.161690229868947,nan,-,-,-,-,-,"[50, 20, 15]",-
74,2.96,-16775495,-0.14661483411711362,nan,-,-,-,-,-,"[50, 20, 15]",-
76,3.04,-16775393,-15.067625609457389,nan,-,-,-,-,-,"[50, 20, 15]",-
77,3.08,-16775397,-43.253931801400086,nan,-,-,-,-,-,"[50, 20, 15]",-
78,3.12,-16775505,-1.5545557646635064,nan,-,-,-,-,-,"[50, 20, 15]",-
79,3.16,-16775482,3.2880780639987037,nan,-,-,-,-,-,"[50, 20, 15]",-
80,3.2,-16775415,-0.23093117541309116,nan,-,-,-,-,-,"[50, 20, 15]",-
81,3.24,-16775561,1.641654852437278,nan,-,-,-,-,-,"[50, 20, 15]",-
82,3.28,-16775476,25.824575043205986,nan,-,-,-,-,-,"[50, 20, 15]",-
83,3.32,-16775531,21.586267122444294,nan,-,-,-,-,-,"[50, 20, 15]",-
84,3.36,-16775488,32.83317549700863,nan,-,-,-,-,-,"[50, 20, 15]",-
85,3.4,-16775493,33.55030838178492,nan,-,-,-,-,-,"[50, 20, 15]",-
86,3.44,-16775410,13.094564135848206,nan,-,-,-,-,-,"[50, 20, 15]",-
87,3.48,-16775399,-15.154704805783956,nan,-,-,-,-,-,"[50, 20, 15]",-
88,3.52,-16775370,-30.32162816350519,nan,-,-,-,-,-,"[50, 20, 15]",-
89,3.56,-16775464,-26.658194870759427,nan,-,-,-,-,-,"[50, 20, 15]",-
90,3.6,-16775414,-0.1492853596444368,nan,-,-,-,-,-,"[50, 20, 15]",-
91,3.64,-16775470,0.9103410824533529,nan,-,-,-,-,-,"[50, 20, 15]",-
92,3.68,-16775477,-20.142159856466026,nan,-,-,-,-,-,"[50, 20, 15]",-
93,3.72,-16775497,28.458415501483458,nan,-,-,-,-,-,"[50, 20, 15]",-
94,3.76,-16775460,4.294752583183577,nan,-,-,-,-,-,"[50, 20, 15]",-
95,3.8,-16775513,29.79657791391728,nan,-,-,-,-,-,"[50, 20, 15]",-
96,3.84,-16775582,32.19921900369587,nan,-,-,-,-,-,"[50, 20, 15]",-
97,3.88,-16775531,25.83689565871051,nan,-,-,-,-,-,"[50, 20, 15]",-
98,3.92,-16775473,-6.5026647604910774,nan,-,-,-,-,-,"[50, 20, 15]",-
99,3.96,-16775366,-26.021391881066535,nan,-,-,-,-,-,"[50, 20, 15]",-
100,4.0,-16775486,-31.246118201499957,nan,-,-,-,-,-,"[50, 20, 15]",-
101,4.04,-16775486,-7.411254422554951,nan,-,-,-,-,-,"[50, 20, 15]",-
102,4.08,-16775595,-15.46618814856646,nan,-,-,-,-,-,"[50, 20, 15]",-
103,4.12,-16775531,-7.9012780396821665,nan,-,-,-,-,-,"[50, 20, 15]",-
104,4.16,-16775487,-11.088552186496532,nan,-,-,-,-,-,"[50, 20, 15]",-
105,4.2,-16775396,-32.15535689455886,nan,-,-,-,-,-,"[50, 20, 15]",-
106,4.24,-16775439,-20.848175851512295,nan,-,-,-,-,-,"[50, 20, 15]",-
107,4.28,-16775506,2.4479046920814,nan,-,-,-,-,-,"[50, 20, 15]",-
108,4.32,-16775437,22.70734918183559,nan,-,-,-,-,-,"[50, 20, 15]",-
109,4.36,-16775484,18.2670826127635,nan,-,-,-,-,-,"[50, 20, 15]",-
110,4.4,-16775507,4.810389624881283,nan,-,-,-,-,-,"[50, 20, 15]",-
111,4.44,-16775398,-43.393138832342586,nan,-,-,-,-,-,"[50, 20, 15]",-
112,4.48,-16775475,-3.7988091187687334,nan,-,-,-,-,-,"[50, 20, 15]",-
113,4.52,-16775511,0.8751784806644411,nan,-,-,-,-,-,"[50, 20, 15]",-
114,4.56,-16775546,43.214127990206656,nan,-,-,-,-,-,"[50, 20, 15]",-
115,4.6,-16775520,28.617670177386124,nan,-,-,-,-,-,"[50, 20, 15]",-
116,4.64,-16775401,-17.57697570088655,nan,-,-,-,-,-,"[50, 20, 15]",-
117,4.68,-16775407,19.46690128185813,nan,-,-,-,-,-,"[50, 20, 15]",-
118,4.72,-16775465,-10.629632553208138,nan,-,-,-,-,-,"[50, 20, 15]",-
119,4.76,-16775432,-36.1842366746607,nan,-,-,-,-,-,"[50, 20, 15]",-
120,4.8,-16775439,6.90772926195604,nan,-,-,-,-,-,"[50, 20, 15]",-
121,4.84,-16775498,0.40007795807752844,nan,-,-,-,-,-,"[50, 20, 15]",-
122,4.88,-16775531,2.7076351284761917,nan,-,-,-,-,-,"[50, 20, 15]",-
123,4.92,-16775536,62.942923084649316,nan,-,-,-,-,-,"[50, 20, 15]",-
124,4.96,-16775447,-4.536381191905061,nan,-,-,-,-,-,"[50, 20, 15]",-
125,5.0,-16775369,3.861294302441703,nan,-,-,-,-,-,"[50, 20, 15]",-
126,5.04,-16775391,19.05563529538669,nan,-,-,-,-,-,"[50, 20, 15]",-
127,5.08,-16775437,21.488673247040357,nan,-,-,-,-,-,"[50, 20, 15]",-
128,5.12,-16775478,-10.99980751259126,nan,-,-,-,-,-,"[50, 20, 15]",-
129,5.16,-16775517,48.002336501967925,nan,-,-,-,-,-,"[50, 20, 15]",-
130,5.2,-16775541,21.91365802365989,nan,-,-,-,-,-,"[50, 20, 15]",-
131,5.24,-16775461,20.165244146741866,nan,-,-,-,-,-,"[50, 20, 15]",-
132,5.28,-16775518,-7.699734734517911,nan,-,-,-,-,-,"[50, 20, 15]",-
133,5.32,-16775493,8.095372220514857,nan,-,-,-,-,-,"[50, 20, 15]",-
134,5.36,-16775496,22.206786102636723,nan,-,-,-,-,-,"[50, 20, 15]",-
135,5.4,-16775546,-12.054827116206742,nan,-,-,-,-,-,"[50, 20, 15]",-
136,5.44,-16775539,26.690306058544135,nan,-,-,-,-,-,"[50, 20, 15]",-
137,5.48,-16775425,-11.000621110667181,nan,-,-,-,-,-,"[50, 20, 15]",-
138,5.52,-16775483,35.605597300760586,nan,-,-,-,-,-,"[50, 20, 15]",-
139,5.56,-16775539,-3.003867248511214,nan,-,-,-,-,-,"[50, 20, 15]",-
