muestra,tiempo,ppg,ppg filtrado,spi,spi_promedio,estado,tipo evento,evento,alarma
1,0.04,-16775864,-68.39957917413932,nan,-,-,-,-,-
2,0.08,-16776269,-53.91289478494075,nan,-,-,-,-,-
3,0.12,-16776260,-60.25612352308428,nan,-,-,-,-,-
4,0.16,-16775973,-75.46253400370756,nan,-,-,-,-,-
5,0.2,-16776046,-69.5818009431103,nan,-,-,-,-,-
6,0.24,-16775914,-55.67244104128031,nan,-,-,-,-,-
7,0.28,-16775920,-23.690739647946174,nan,-,-,-,-,-
8,0.32,-16775911,10.970159977960833,nan,-,-,-,-,-
9,0.36,-16775839,30.243719662877083,nan,-,-,-,-,-
10,0.4,-16775825,30.08728244087287,nan,-,-,-,-,-
11,0.44,-16775885,20.36593138978079,nan,-,-,-,-,-
12,0.48,-16775606,7.399876851257602,nan,-,-,-,-,-
13,0.52,-16775378,15.658713477518916,nan,-,-,-,-,-
14,0.56,-16775337,39.87057679153047,nan,-,-,-,-,-
15,0.6,-16775345,53.956660371157625,nan,-,-,-,-,-
16,0.64,-16775327,47.492982489251176,nan,-,-,-,-,-
17,0.68,-16775456,37.506325983107416,nan,-,-,-,-,-
18,0.72,-16775433,27.403805156336432,nan,-,-,-,-,-
19,0.76,-16776047,44.70942143884247,nan,-,-,-,-,-
20,0.8,-16776056,46.22346498584221,nan,-,-,-,-,-
21,0.84,-16776028,47.54550861485035,nan,-,-,-,-,-
22,0.88,-16776332,55.25866516137228,nan,-,-,-,-,-
23,0.92,-16776015,29.09123693570723,nan,-,-,-,-,-
24,0.96,-16776048,-3.3756697498383943,nan,-,-,-,-,-
25,1.0,-16776038,-44.20112844057516,nan,-,-,-,-,-
26,1.04,-16775936,-80.4013679651406,nan,-,-,-,-,-
27,1.08,-16775915,-101.32920157664063,nan,-,-,-,-,-
28,1.12,-16775871,-111.07494799387149,nan,-,-,-,-,-
29,1.16,-16775870,-102.82435275499665,nan,-,-,-,-,-
30,1.2,-16775874,-71.95584314111588,nan,-,-,-,-,-
31,1.24,-16775864,-25.949032793552362,nan,-,-,-,-,-
32,1.28,-16775863,17.855393256712,nan,-,-,-,-,-
33,1.32,-16775858,45.59921226792824,nan,-,-,-,-,-
34,1.36,-16775842,55.16895519307138,nan,-,-,-,-,-
35,1.4,-16775865,53.47630135643836,nan,-,-,-,-,-
36,1.44,-16775394,31.02920249987082,nan,-,-,-,-,-
37,1.48,-16775376,23.163483577793897,nan,-,-,-,-,-
38,1.52,-16775416,17.893564331713435,nan,-,-,-,-,-
39,1.56,-16776041,31.846261674886534,nan,-,-,-,-,-
40,1.6,-16776086,28.48931125147658,nan,-,-,-,-,-
41,1.64,-16776473,37.16028904535597,nan,-,-,-,-,-
42,1.68,-16776385,30.24163363880632,nan,-,-,-,-,-
43,1.72,-16776023,14.758322649444537,nan,-,-,-,-,-
44,1.76,-16776074,15.875036924421721,nan,-,-,-,-,-
45,1.8,-16775927,12.174283621075233,nan,-,-,-,-,-
46,1.84,-16775919,1.7020543239949575,nan,-,-,-,-,-
47,1.88,-16775909,-33.35279400028398,nan,-,-,-,-,-
48,1.92,-16775934,-83.29671692278887,nan,-,-,-,-,-
49,1.96,-16775897,-117.42045890186749,nan,-,-,-,-,-
50,2.0,-16775843,-104.2831815300131,nan,-,-,-,-,-
51,2.04,-16775825,-45.6665826532346,nan,-,-,-,-,-
52,2.08,-16775837,24.549742014327048,nan,-,-,-,-,-
53,2.12,-16775314,52.435078328965744,nan,-,-,-,-,-
54,2.16,-16775270,57.18217293776394,nan,-,-,-,-,-
55,2.2,-16775278,38.71455337884327,nan,-,-,-,-,-
56,2.24,-16775638,30.079251524821757,nan,-,-,-,-,-
57,2.28,-16776601,51.554702746981434,nan,-,-,-,-,-
58,2.32,-16777072,64.85068360848993,nan,-,-,-,-,-
59,2.36,-16776795,53.74920506995136,nan,-,-,-,-,-
60,2.4,-16776319,32.49384852974464,nan,-,-,-,-,-
61,2.44,-16776058,17.17814801144226,nan,-,-,-,-,-
62,2.48,-16775985,8.567117529703125,nan,-,-,-,-,-
63,2.52,-16776031,-5.196919471976116,nan,-,-,-,-,-
64,2.56,-16775929,-49.408271674486514,nan,-,-,-,-,-
65,2.6,-16775928,-116.07235016421538,nan,-,-,-,-,-
66,2.64,-16775817,-177.65054493657584,nan,-,-,-,-,-
67,2.68,-16775876,-173.2128652042552,nan,-,-,-,-,-
68,2.72,-16775871,-86.62741620769933,nan,-,-,-,-,-
69,2.76,-16775454,31.88076948209263,nan,-,-,-,-,-
70,2.8,-16775104,118.54991899819584,nan,-,-,-,-,-
71,2.84,-16775196,136.11373099225983,nan,-,-,-,-,-
72,2.88,-16775390,95.32746157848138,nan,-,-,-,-,-
73,2.92,-16775786,57.303883061558224,nan,-,-,-,-,-
74,2.96,-16776038,44.10469084491206,nan,-,-,-,-,-
76,3.04,-16775839,38.29254999779616,nan,-,-,-,-,-
77,3.08,-16775136,13.847843380566928,nan,-,-,-,-,-
78,3.12,-16775188,17.713456699521913,nan,-,-,-,-,-
79,3.16,-16775128,16.263434141809583,nan,-,-,-,-,-
80,3.2,-16775365,2.448810358943561,nan,-,-,-,-,-
81,3.24,-16775374,-46.59812435501382,nan,-,-,-,-,-
82,3.28,-16775667,-87.26002080566519,nan,-,-,-,-,-
83,3.32,-16776330,-77.4878615726833,nan,-,-,-,-,-
84,3.36,-16776362,-35.91879536169881,nan,-,-,-,-,-
85,3.4,-16776022,20.820793193564164,nan,-,-,-,-,-
86,3.44,-16775889,67.57486045007298,nan,-,-,-,-,-
87,3.48,-16775844,68.67076430276484,nan,-,-,-,-,-
88,3.52,-16775896,24.515878416486345,nan,-,-,-,-,-
89,3.56,-16775887,-40.58056727802813,nan,-,-,-,-,-
90,3.6,-16775893,-90.60644755476699,nan,-,-,-,-,-
91,3.64,-16775873,-112.9395206212618,nan,-,-,-,-,-
92,3.68,-111254,-524053.98147060536,nan,-,-,-,-,-
93,3.72,-293730,-475430.3920709444,nan,-,-,-,-,-
94,3.76,-485,-392015.6074954206,nan,-,-,-,-,-
95,3.8,-719,-244064.7969243767,nan,-,-,-,-,-
96,3.84,-16777208,473573.0523943715,nan,-,-,-,-,-
97,3.88,-524,105408.5687714332,nan,-,-,-,-,-
98,3.92,-16777033,792817.9315727502,nan,-,-,-,-,-
99,3.96,-312,455663.1402108944,nan,-,-,-,-,-
100,4.0,-16776543,1341343.0727579063,nan,-,-,-,-,-
101,4.04,-16776428,1727176.0710793994,nan,-,-,-,-,-
102,4.08,-547,1182393.946811336,nan,-,-,-,-,-
103,4.12,-567,393875.3047266016,nan,-,-,-,-,-
104,4.16,-524,-947739.7484536446,nan,-,-,-,-,-
105,4.2,-804,-2003203.7109350364,nan,-,-,-,-,-
106,4.24,-1644,-2097469.248093617,nan,-,-,-,-,-
107,4.28,-602,-1377775.6408896537,nan,-,-,-,-,-
108,4.32,-38,-577238.726322003,nan,-,-,-,-,-
109,4.36,-16777149,363459.8782279007,nan,-,-,-,-,-
110,4.4,-31,68073.50406978605,nan,-,-,-,-,-
111,4.44,-25,590971.7184008467,nan,-,-,-,-,-
112,4.48,-16776356,1737413.0939742783,nan,-,-,-,-,-
113,4.52,-16776359,1726173.6216953117,nan,-,-,-,-,-
114,4.56,-16776923,900057.3452908816,nan,-,-,-,-,-
115,4.6,-16776819,-125450.01107205311,nan,-,-,-,-,-
116,4.64,-16777120,-778547.3827561471,nan,-,-,-,-,-
117,4.68,-16776554,-1070425.9686543904,nan,-,-,-,-,-
118,4.72,-278,-1688214.8332471978,nan,-,-,-,-,-
119,4.76,-215,-1496444.1809002645,nan,-,-,-,-,-
120,4.8,-551,-1130943.637648859,nan,-,-,-,-,-
121,4.84,-243,-983185.3543690229,nan,-,-,-,-,-
122,4.88,-214,-1075814.4509692565,nan,-,-,-,-,-
123,4.92,-1647,-820554.9723476677,nan,-,-,-,-,-
124,4.96,-870,106682.85694929212,nan,-,-,-,-,-
125,5.0,-334,1261734.1340756225,nan,-,-,-,-,-
126,5.04,-16777113,2640955.5841323305,nan,-,-,-,-,-
127,5.08,-87,2495502.06218417,nan,-,-,-,-,-
128,5.12,-184,2373867.4999006763,nan,-,-,-,-,-
129,5.16,-16777138,2130189.1536795106,nan,-,-,-,-,-
130,5.2,-344,375173.81612491934,nan,-,-,-,-,-
131,5.24,-16776161,-112834.77684671525,nan,-,-,-,-,-
132,5.28,-16776796,-599134.1195642771,nan,-,-,-,-,-
133,5.32,-16776844,-785376.237130187,nan,-,-,-,-,-
134,5.36,-862,-1544002.783954095,nan,-,-,-,-,-
135,5.4,-1497,-1726726.2615780476,nan,-,-,-,-,-
136,5.44,-227,-1546618.1149049848,nan,-,-,-,-,-
137,5.48,-16777157,-486436.04192528035,nan,-,-,-,-,-
138,5.52,-199,-645663.6227627117,nan,-,-,-,-,-
139,5.56,-16777040,-165269.33438724186,nan,-,-,-,-,-
140,5.6,-752168,-854263.7130634338,nan,-,-,-,-,-
141,5.64,-752965,-640527.5117718652,nan,-,-,-,-,-
142,5.68,-751100,158079.8216251284,nan,-,-,-,-,-
143,5.72,-746555,1241092.491444991,nan,-,-,-,-,-
144,5.76,-722455,1828950.404869514,nan,-,-,-,-,-
145,5.8,-714272,1294036.8226704367,nan,-,-,-,-,-
146,5.84,-715116,35808.39616067824,nan,-,-,-,-,-
147,5.88,-720465,-772249.3929264084,nan,-,-,-,-,-
148,5.92,-723937,-478878.56211416353,nan,-,-,-,-,-
149,5.96,-729441,435288.2397737771,nan,-,-,-,-,-
151,6.04,-733924,988137.0072797507,nan,-,-,-,-,-
152,6.08,-730919,385042.35171121336,nan,-,-,-,-,-
153,6.12,-732289,-227837.74570137612,nan,-,-,-,-,-
154,6.16,-735403,-497593.3096019528,nan,-,-,-,-,-
155,6.2,-737429,-466192.97504773404,nan,-,-,-,-,-
156,6.24,-740728,-365318.9376341117,nan,-,-,-,-,-
157,6.28,-742783,-319424.52704941697,nan,-,-,-,-,-
