muestra,tiempo,ppg,ppg filtrado,spi,spi_promedio,estado,tipo evento,evento,alarma,limites_alarma,descripcion_alarma
1,0.04,-16775481,26.879228176029603,nan,-,-,-,-,-,"[50, 20, 15]",-
2,0.08,-16775516,23.566034594749254,nan,-,-,-,-,-,"[50, 20, 15]",-
3,0.12,-16775553,16.373993324742283,nan,-,-,-,-,-,"[50, 20, 15]",-
4,0.16,-16775497,27.845094548488333,nan,-,-,-,-,-,"[50, 20, 15]",-
5,0.2,-16775607,70.75511449311982,nan,-,-,-,-,-,"[50, 20, 15]",-
6,0.24,-16775579,22.679230285744218,nan,-,-,-,-,-,"[50, 20, 15]",-
7,0.28,-16775572,-16.46600381602248,nan,-,-,-,-,-,"[50, 20, 15]",-
8,0.32,-16775498,-15.485978238575342,nan,-,-,-,-,-,"[50, 20, 15]",-
9,0.36,-16775521,-13.365795956652477,nan,-,-,-,-,-,"[50, 20, 15]",-
10,0.4,-16775512,-10.054176240215927,nan,-,-,-,-,-,"[50, 20, 15]",-
11,0.44,-16775524,-16.24570237778289,nan,-,-,-,-,-,"[50, 20, 15]",-
12,0.48,-16775585,-21.531458869006578,nan,-,-,-,-,-,"[50, 20, 15]",-
13,0.52,-16775535,-20.407330470164226,nan,-,-,-,-,-,"[50, 20, 15]",-
14,0.56,-16775573,-14.368330154935975,nan,-,-,-,-,-,"[50, 20, 15]",-
15,0.6,-16775478,-11.129805534964577,nan,-,-,-,-,-,"[50, 20, 15]",-
16,0.64,-16775595,-18.47199318403861,nan,-,-,-,-,-,"[50, 20, 15]",-
17,0.68,-16775536,2.1994815221580217,nan,-,-,-,-,-,"[50, 20, 15]",-
18,0.72,-16775561,3.376811445142192,nan,-,-,-,-,-,"[50, 20, 15]",-
19,0.76,-16775582,4.727118870120696,nan,-,-,-,-,-,"[50, 20, 15]",-
20,0.8,-16775714,66.73123462830137,nan,-,-,-,-,-,"[50, 20, 15]",-
21,0.84,-16775658,-3.5443685543530363,nan,-,-,-,-,-,"[50, 20, 15]",-
22,0.88,-16775655,-6.2398584898100875,nan,-,-,-,-,-,"[50, 20, 15]",-
23,0.92,-16775649,-6.0854851798998695,nan,-,-,-,-,-,"[50, 20, 15]",-
24,0.96,-16775468,-4.845030067983918,nan,-,-,-,-,-,"[50, 20, 15]",-
25,1.0,-16775448,-15.12740746924085,nan,-,-,-,-,-,"[50, 20, 15]",-
26,1.04,-16775534,-6.295635706946924,nan,-,-,-,-,-,"[50, 20, 15]",-
27,1.08,-16775667,-20.1422378845549,nan,-,-,-,-,-,"[50, 20, 15]",-
28,1.12,-16775551,-3.5229366627299283,nan,-,-,-,-,-,"[50, 20, 15]",-
29,1.16,-16775624,-13.481195153710603,nan,-,-,-,-,-,"[50, 20, 15]",-
30,1.2,-16775650,-7.785490231757454,nan,-,-,-,-,-,"[50, 20, 15]",-
31,1.24,-16775521,-11.77837601224534,nan,-,-,-,-,-,"[50, 20, 15]",-
