muestra,tiempo,ppg,ppg filtrado,spi,spi_promedio,estado,tipo evento,evento,alarma
1,0.04,-1046265,-1457.0754690045178,nan,-,-,-,-,-
2,0.08,-1047430,-1002.2042161827349,nan,-,-,-,-,-
3,0.12,-1052152,-299.80806939658737,nan,-,-,-,-,-
4,0.16,-1054081,325.1962347524668,nan,-,-,-,-,-
5,0.2,-1054530,829.4879012467181,nan,-,-,-,-,-
6,0.24,-1054310,1239.445264717333,nan,-,-,-,-,-
7,0.28,-1056791,1747.086244011105,nan,-,-,-,-,-
8,0.32,-1058867,2259.245413695802,nan,-,-,-,-,-
9,0.36,-1060785,2517.433470401399,nan,-,-,-,-,-
10,0.4,-1064120,2148.1345967970346,nan,-,-,-,-,-
11,0.44,-1066067,960.0233787558109,nan,-,-,-,-,-
12,0.48,-1068358,-476.09254674005933,nan,-,-,-,-,-
13,0.52,-1067888,-1502.7186864266969,nan,-,-,-,-,-
14,0.56,-1067866,-1696.0952737233724,nan,-,-,-,-,-
15,0.6,-1066928,-1419.9761794613719,nan,-,-,-,-,-
16,0.64,-1065657,-1183.225277304914,nan,-,-,-,-,-
17,0.68,-1062664,-1250.3295848195457,nan,-,-,-,-,-
18,0.72,-1048238,-1765.137514992237,nan,-,-,-,-,-
19,0.76,-1044642,-1755.8594890517415,nan,-,-,-,-,-
20,0.8,-1046448,-1301.6721450663572,nan,-,-,-,-,-
21,0.84,-1049647,-587.1417491781888,nan,-,-,-,-,-
22,0.88,-1054696,289.1835853848488,nan,-,-,-,-,-
23,0.92,-1056096,1011.6944035816878,nan,-,-,-,-,-
24,0.96,-1056208,1544.6146547918843,nan,-,-,-,-,-
25,1.0,-1056814,1952.3565117191965,nan,-,-,-,-,-
26,1.04,-1059189,2359.1829123953357,nan,-,-,-,-,-
27,1.08,-1060363,2589.3206287212543,nan,-,-,-,-,-
28,1.12,-1060336,2273.579245422706,nan,-,-,-,-,-
29,1.16,-1064523,1279.1203433982764,nan,-,-,-,-,-
30,1.2,-1065156,-346.92946395025683,nan,-,-,-,-,-
31,1.24,-1065007,-1686.7765642735892,nan,-,-,-,-,-
32,1.28,-1064775,-2110.713276357119,nan,-,-,-,-,-
33,1.32,-1063902,-1767.0214631489953,nan,-,-,-,-,-
34,1.36,-1061720,-1262.984259016138,nan,-,-,-,-,-
35,1.4,-1052427,-1214.9553743093038,nan,-,-,-,-,-
36,1.44,-1038116,-1548.9579646355905,nan,-,-,-,-,-
37,1.48,-1035138,-1496.1753436959334,nan,-,-,-,-,-
38,1.52,-1035443,-1151.9263505101371,nan,-,-,-,-,-
39,1.56,-1036836,-580.5204757795575,nan,-,-,-,-,-
40,1.6,-1012606,-678.2281319010381,nan,-,-,-,-,-
41,1.64,-936119,-2302.0321082743467,nan,-,-,-,-,-
42,1.68,-784764,-6037.114701874729,nan,-,-,-,-,-
43,1.72,-688700,-7364.502138686657,nan,-,-,-,-,-
44,1.76,-694416,-4510.440691229116,nan,-,-,-,-,-
45,1.8,-772626,1316.6465059826442,nan,-,-,-,-,-
46,1.84,-825254,6127.516983114532,nan,-,-,-,-,-
47,1.88,-746366,6009.9236400835725,nan,-,-,-,-,-
48,1.92,-601006,3972.255541544677,nan,-,-,-,-,-
49,1.96,-664333,10816.338663920687,nan,-,-,-,-,-
50,2.0,-711533,19951.50623339889,nan,-,-,-,-,-
51,2.04,-718445,27202.285142322973,nan,-,-,-,-,-
52,2.08,-724656,26944.188371091164,nan,-,-,-,-,-
53,2.12,-731998,14718.564480920453,nan,-,-,-,-,-
54,2.16,-737834,-4737.190680506981,nan,-,-,-,-,-
55,2.2,-735977,-18799.882825898712,nan,-,-,-,-,-
56,2.24,-747143,-17809.71305787787,nan,-,-,-,-,-
57,2.28,-754158,-7412.4033816934625,nan,-,-,-,-,-
58,2.32,-671588,-4499.871867406619,nan,-,-,-,-,-
59,2.36,-745717,-8168.037246342793,nan,-,-,-,-,-
60,2.4,-811219,-16208.60214533348,nan,-,-,-,-,-
61,2.44,-801274,-19596.94848607231,nan,-,-,-,-,-
62,2.48,-742026,-15949.634617127871,nan,-,-,-,-,-
63,2.52,-765097,-7801.040710342531,nan,-,-,-,-,-
64,2.56,-930875,1707.9819714103942,nan,-,-,-,-,-
65,2.6,-975717,4590.935559058678,nan,-,-,-,-,-
66,2.64,-988275,5817.238724925242,nan,-,-,-,-,-
67,2.68,-994370,5953.501923079195,nan,-,-,-,-,-
68,2.72,-996179,3073.8464360571015,nan,-,-,-,-,-
69,2.76,-993831,-2382.2643521198843,nan,-,-,-,-,-
70,2.8,-991026,-6101.248255678802,nan,-,-,-,-,-
71,2.84,-980543,-5933.91576125921,nan,-,-,-,-,-
72,2.88,-960879,-6082.46839240499,nan,-,-,-,-,-
73,2.92,-950263,-10684.796613747807,nan,-,-,-,-,-
74,2.96,-942464,-16242.574534476327,nan,-,-,-,-,-
76,3.04,-932415,-2855.823791653602,nan,-,-,-,-,-
77,3.08,-907170,9146.239155508825,nan,-,-,-,-,-
78,3.12,-886962,15401.814890465663,nan,-,-,-,-,-
79,3.16,-861164,15574.059566515001,nan,-,-,-,-,-
80,3.2,-822891,13464.75234731824,nan,-,-,-,-,-
81,3.24,-764403,11213.959617998578,nan,-,-,-,-,-
82,3.28,-696462,8801.090592074048,nan,-,-,-,-,-
83,3.32,-661371,6700.939443243837,nan,-,-,-,-,-
84,3.36,-671641,5680.878050454594,nan,-,-,-,-,-
85,3.4,-692860,5893.689446147531,nan,-,-,-,-,-
86,3.44,-697770,7093.118185766769,nan,-,-,-,-,-
87,3.48,-702984,9084.815534066322,nan,-,-,-,-,-
88,3.52,-657722,9089.320660160483,nan,-,-,-,-,-
89,3.56,-757640,12957.114880366964,nan,-,-,-,-,-
90,3.6,-869829,16304.147959253227,nan,-,-,-,-,-
91,3.64,-905178,15140.92813404731,nan,-,-,-,-,-
92,3.68,-918864,9310.600835302364,nan,-,-,-,-,-
93,3.72,-935043,-738.1214999871008,nan,-,-,-,-,-
94,3.76,-947171,-12064.261465164893,nan,-,-,-,-,-
95,3.8,-960081,-19747.543737998993,nan,-,-,-,-,-
96,3.84,-963214,-22308.75316471528,nan,-,-,-,-,-
97,3.88,-871349,-25594.898427354274,nan,-,-,-,-,-
98,3.92,-619049,-35840.60341430793,nan,-,-,-,-,-
99,3.96,-634635,-38498.35996582999,nan,-,-,-,-,-
100,4.0,-655758,-35813.86131008655,nan,-,-,-,-,-
101,4.04,-672868,-23753.609269504166,nan,-,-,-,-,-
102,4.08,-711234,-5199.311980229046,nan,-,-,-,-,-
103,4.12,-890795,15601.461319448776,nan,-,-,-,-,-
104,4.16,-938199,26302.666503696848,nan,-,-,-,-,-
105,4.2,-954361,33426.38881557727,nan,-,-,-,-,-
106,4.24,-960024,41193.97043945886,nan,-,-,-,-,-
107,4.28,-957093,46362.41644223555,nan,-,-,-,-,-
108,4.32,-959711,40611.62358838013,nan,-,-,-,-,-
109,4.36,-892200,17575.80309177596,nan,-,-,-,-,-
110,4.4,-696953,-16459.795821070235,nan,-,-,-,-,-
111,4.44,-647278,-39351.82927547698,nan,-,-,-,-,-
112,4.48,-672747,-46481.55049742806,nan,-,-,-,-,-
113,4.52,-683523,-41481.36700706702,nan,-,-,-,-,-
114,4.56,-654953,-28229.154318095898,nan,-,-,-,-,-
115,4.6,-917515,-1052.584140756604,nan,-,-,-,-,-
116,4.64,-981012,17595.996975554008,nan,-,-,-,-,-
117,4.68,-994932,28903.949464724195,nan,-,-,-,-,-
118,4.72,-999266,35585.218452450965,nan,-,-,-,-,-
119,4.76,-975279,37824.91234019982,nan,-,-,-,-,-
120,4.8,-734288,25675.685872977658,nan,-,-,-,-,-
121,4.84,-660321,8013.525099681137,nan,-,-,-,-,-
122,4.88,-683859,-13287.934217910748,nan,-,-,-,-,-
123,4.92,-687268,-32690.816524932874,nan,-,-,-,-,-
124,4.96,-636879,-44728.77012785315,nan,-,-,-,-,-
125,5.0,-854919,-36751.420363186786,nan,-,-,-,-,-
126,5.04,-979770,-19487.57266087443,nan,-,-,-,-,-
127,5.08,-999918,4064.4555833150225,nan,-,-,-,-,-
128,5.12,-1005619,28405.070050133058,nan,-,-,-,-,-
129,5.16,-979866,43075.453613965685,nan,-,-,-,-,-
130,5.2,-778521,37184.79879364342,nan,-,-,-,-,-
131,5.24,-688097,19497.966986599844,nan,-,-,-,-,-
132,5.28,-731304,-2589.1595593865495,nan,-,-,-,-,-
133,5.32,-731018,-24337.139384461756,nan,-,-,-,-,-
134,5.36,-665275,-39756.8903448765,nan,-,-,-,-,-
135,5.4,-930919,-34288.125674308874,nan,-,-,-,-,-
136,5.44,-1076593,-20957.633826497564,nan,-,-,-,-,-
137,5.48,-1099889,-245.46264230366796,nan,-,-,-,-,-
138,5.52,-1082736,23277.171279200425,nan,-,-,-,-,-
139,5.56,-942424,35620.56305433062,nan,-,-,-,-,-
140,5.6,-728983,30538.783795741765,nan,-,-,-,-,-
141,5.64,-695393,15916.347600432462,nan,-,-,-,-,-
142,5.68,-718999,-4989.8227677539835,nan,-,-,-,-,-
143,5.72,-732295,-24702.743857032452,nan,-,-,-,-,-
144,5.76,-711171,-38315.97365864435,nan,-,-,-,-,-
145,5.8,-917640,-34753.47614735231,nan,-,-,-,-,-
146,5.84,-1112633,-17572.51237994095,nan,-,-,-,-,-
147,5.88,-1144372,9192.323243100516,nan,-,-,-,-,-
148,5.92,-1147603,39461.64554898819,nan,-,-,-,-,-
149,5.96,-1068122,54275.14456490532,nan,-,-,-,-,-
151,6.04,-722722,12349.539526560722,nan,-,-,-,-,-
152,6.08,-722925,-17030.333825359732,nan,-,-,-,-,-
153,6.12,-741934,-37695.966680108904,nan,-,-,-,-,-
154,6.16,-732232,-48350.012563978155,nan,-,-,-,-,-
155,6.2,-726909,-49164.59703697079,nan,-,-,-,-,-
156,6.24,-721647,-37565.22903138664,nan,-,-,-,-,-
157,6.28,-701190,-11743.773571207781,nan,-,-,-,-,-
158,6.32,-759423,24103.583884642838,nan,-,-,-,-,-
159,6.36,-1047273,60087.534944076324,nan,-,-,-,-,-
160,6.4,-1123136,70104.05763233555,nan,-,-,-,-,-
161,6.44,-1117263,55995.566498597094,nan,-,-,-,-,-
162,6.48,-1114608,28535.09839017831,nan,-,-,-,-,-
163,6.52,-1108024,1486.904779608165,nan,-,-,-,-,-
164,6.56,-997296,-18027.43614972393,nan,-,-,-,-,-
165,6.6,-713007,-32731.929674325453,nan,-,-,-,-,-
166,6.64,-726376,-35752.057146936306,nan,-,-,-,-,-
167,6.68,-786793,-41378.52209132409,nan,-,-,-,-,-
168,6.72,-797530,-49821.51544199908,nan,-,-,-,-,-
169,6.76,-793953,-49270.60638231827,nan,-,-,-,-,-
170,6.8,-723997,-33414.94876324695,nan,-,-,-,-,-
171,6.84,-1021662,6785.679209569091,nan,-,-,-,-,-
172,6.88,-1118075,39187.746169469465,nan,-,-,-,-,-
173,6.92,-1165988,58863.54286834062,nan,-,-,-,-,-
174,6.96,-1168091,63215.96203272209,nan,-,-,-,-,-
175,7.0,-1170889,52067.850795461985,nan,-,-,-,-,-
176,7.04,-1166550,26289.74385557533,nan,-,-,-,-,-
177,7.08,-1131079,-4265.396426347572,nan,-,-,-,-,-
178,7.12,-1012207,-27888.553907372057,nan,-,-,-,-,-
179,7.16,-754386,-44508.83479157946,nan,-,-,-,-,-
180,7.2,-699826,-51111.49435860364,nan,-,-,-,-,-
181,7.24,-722583,-53306.34338346233,nan,-,-,-,-,-
182,7.28,-743390,-44813.04559913608,nan,-,-,-,-,-
183,7.32,-740595,-22067.43086936461,nan,-,-,-,-,-
184,7.36,-771382,7204.6302966732765,nan,-,-,-,-,-
185,7.4,-998640,35789.2010495032,nan,-,-,-,-,-
186,7.44,-1017453,48490.63779585116,nan,-,-,-,-,-
187,7.48,-1026859,56553.3357408474,nan,-,-,-,-,-
188,7.52,-1040577,60374.51130657684,nan,-,-,-,-,-
189,7.56,-1051498,52329.93833302604,nan,-,-,-,-,-
190,7.6,-1054986,28212.1671610074,nan,-,-,-,-,-
191,7.64,-1060196,-3381.0171145993745,nan,-,-,-,-,-
192,7.68,-1054411,-29018.768559285127,nan,-,-,-,-,-
193,7.72,-926681,-46435.227806580035,nan,-,-,-,-,-
194,7.76,-759148,-56038.13410805186,nan,-,-,-,-,-
195,7.8,-751044,-53101.6364033173,nan,-,-,-,-,-
196,7.84,-773246,-39806.501721063425,nan,-,-,-,-,-
197,7.88,-769977,-20297.17799587563,nan,-,-,-,-,-
