muestra,tiempo,ppg,ppg filtrado,spi,spi_promedio,estado,tipo evento,evento,alarma,limites_alarma,descripcion_alarma
1,0.04,-16775522,47.57087842233979,nan,-,-,-,-,-,"[50, 20, 15]",-
2,0.08,-16775534,16.996698076614475,nan,-,-,-,-,-,"[50, 20, 15]",-
3,0.12,-16775572,38.284180243887306,nan,-,-,-,-,-,"[50, 20, 15]",-
4,0.16,-16775573,35.31755789998809,nan,-,-,-,-,-,"[50, 20, 15]",-
5,0.2,-16775524,11.041906030868486,nan,-,-,-,-,-,"[50, 20, 15]",-
6,0.24,-16775385,-18.66963027189035,nan,-,-,-,-,-,"[50, 20, 15]",-
7,0.28,-16775460,13.069461131389746,nan,-,-,-,-,-,"[50, 20, 15]",-
8,0.32,-16775520,-23.05600701384579,nan,-,-,-,-,-,"[50, 20, 15]",-
9,0.36,-16775479,-15.865821171957398,nan,-,-,-,-,-,"[50, 20, 15]",-
10,0.4,-16775506,-15.193071161059278,nan,-,-,-,-,-,"[50, 20, 15]",-
11,0.44,-16775528,-11.050998335155693,nan,-,-,-,-,-,"[50, 20, 15]",-
12,0.48,-16775561,-17.5046537552723,nan,-,-,-,-,-,"[50, 20, 15]",-
13,0.52,-16775531,-4.88101701633555,nan,-,-,-,-,-,"[50, 20, 15]",-
14,0.56,-16775478,3.518926910462946,nan,-,-,-,-,-,"[50, 20, 15]",-
15,0.6,-16775409,-66.62036847560746,nan,-,-,-,-,-,"[50, 20, 15]",-
16,0.64,-16775521,31.214640784483652,nan,-,-,-,-,-,"[50, 20, 15]",-
17,0.68,-16775490,-27.29908241914065,nan,-,-,-,-,-,"[50, 20, 15]",-
18,0.72,-16775575,-20.472686118703628,nan,-,-,-,-,-,"[50, 20, 15]",-
19,0.76,-16775526,-9.01418687024908,nan,-,-,-,-,-,"[50, 20, 15]",-
20,0.8,-16775502,-26.41812024394592,nan,-,-,-,-,-,"[50, 20, 15]",-
21,0.84,-16775416,-16.13595236813054,nan,-,-,-,-,-,"[50, 20, 15]",-
22,0.88,-16775475,-20.825598221563325,nan,-,-,-,-,-,"[50, 20, 15]",-
23,0.92,-16775498,-25.735359574595897,nan,-,-,-,-,-,"[50, 20, 15]",-
24,0.96,-16775476,20.503447013660764,nan,-,-,-,-,-,"[50, 20, 15]",-
25,1.0,-16775498,17.38988683536657,nan,-,-,-,-,-,"[50, 20, 15]",-
26,1.04,-16775564,21.57791225648912,nan,-,-,-,-,-,"[50, 20, 15]",-
27,1.08,-16775578,-17.785222164713282,nan,-,-,-,-,-,"[50, 20, 15]",-
28,1.12,-16775537,9.091388970339876,nan,-,-,-,-,-,"[50, 20, 15]",-
29,1.16,-16775447,-2.3558683637334523,nan,-,-,-,-,-,"[50, 20, 15]",-
30,1.2,-16775396,14.526731321668496,nan,-,-,-,-,-,"[50, 20, 15]",-
31,1.24,-16775431,9.479724293484798,nan,-,-,-,-,-,"[50, 20, 15]",-
32,1.28,-16775432,2.1155396929121144,nan,-,-,-,-,-,"[50, 20, 15]",-
33,1.32,-16775433,-9.665254442520762,nan,-,-,-,-,-,"[50, 20, 15]",-
34,1.36,-16775447,-11.390322003670377,nan,-,-,-,-,-,"[50, 20, 15]",-
35,1.4,-16775579,23.375649776178584,nan,-,-,-,-,-,"[50, 20, 15]",-
36,1.44,-16775522,-4.104138638516406,nan,-,-,-,-,-,"[50, 20, 15]",-
37,1.48,-16775428,-6.152945039564744,nan,-,-,-,-,-,"[50, 20, 15]",-
38,1.52,-16775517,26.618614735631983,nan,-,-,-,-,-,"[50, 20, 15]",-
39,1.56,-16775529,-28.911950765542578,nan,-,-,-,-,-,"[50, 20, 15]",-
40,1.6,-16775526,-14.29975852234421,nan,-,-,-,-,-,"[50, 20, 15]",-
41,1.64,-16775454,-0.550371121875062,nan,-,-,-,-,-,"[50, 20, 15]",-
42,1.68,-16775548,60.02264917099648,nan,-,-,-,-,-,"[50, 20, 15]",-
43,1.72,-16775505,31.036543003961448,nan,-,-,-,-,-,"[50, 20, 15]",-
44,1.76,-16775521,30.32366511216507,nan,-,-,-,-,-,"[50, 20, 15]",-
45,1.8,-16775492,19.966379744816688,nan,-,-,-,-,-,"[50, 20, 15]",-
46,1.84,-16775511,12.948819364828326,nan,-,-,-,-,-,"[50, 20, 15]",-
47,1.88,-16775441,-66.8219776040194,nan,-,-,-,-,-,"[50, 20, 15]",-
48,1.92,-16775422,-39.682963722942546,nan,-,-,-,-,-,"[50, 20, 15]",-
49,1.96,-16775458,18.923841524510756,nan,-,-,-,-,-,"[50, 20, 15]",-
50,2.0,-16775384,-43.22272556782474,nan,-,-,-,-,-,"[50, 20, 15]",-
51,2.04,-16775497,5.265677637601241,nan,-,-,-,-,-,"[50, 20, 15]",-
52,2.08,-16775527,5.083500186408694,nan,-,-,-,-,-,"[50, 20, 15]",-
53,2.12,-16775507,-0.619241462771768,nan,-,-,-,-,-,"[50, 20, 15]",-
54,2.16,-16775531,6.950579417638348,nan,-,-,-,-,-,"[50, 20, 15]",-
55,2.2,-16775530,2.7797034748230427,nan,-,-,-,-,-,"[50, 20, 15]",-
56,2.24,-16775564,3.2718800120891935,nan,-,-,-,-,-,"[50, 20, 15]",-
57,2.28,-16775580,-0.23036751811012213,nan,-,-,-,-,-,"[50, 20, 15]",-
58,2.32,-16775585,-0.22506671876727458,nan,-,-,-,-,-,"[50, 20, 15]",-
59,2.36,-16775586,-7.166096208749826,nan,-,-,-,-,-,"[50, 20, 15]",-
60,2.4,-16775549,-9.427466525316296,nan,-,-,-,-,-,"[50, 20, 15]",-
61,2.44,-16775472,-7.097669751999166,nan,-,-,-,-,-,"[50, 20, 15]",-
62,2.48,-16775417,-35.7113136148761,nan,-,-,-,-,-,"[50, 20, 15]",-
63,2.52,-16775534,-1.167516443442306,nan,-,-,-,-,-,"[50, 20, 15]",-
64,2.56,-16775502,1.9379122060614655,nan,-,-,-,-,-,"[50, 20, 15]",-
65,2.6,-16775482,1.101673805782926,nan,-,-,-,-,-,"[50, 20, 15]",-
66,2.64,-16775439,-12.295797623138476,nan,-,-,-,-,-,"[50, 20, 15]",-
67,2.68,-16775517,4.98041305132482,nan,-,-,-,-,-,"[50, 20, 15]",-
68,2.72,-16775480,-1.568158633568355,nan,-,-,-,-,-,"[50, 20, 15]",-
69,2.76,-16775480,9.017734411033837,nan,-,-,-,-,-,"[50, 20, 15]",-
70,2.8,-16775520,12.60302492005275,nan,-,-,-,-,-,"[50, 20, 15]",-
71,2.84,-16775535,20.590956787850217,nan,-,-,-,-,-,"[50, 20, 15]",-
72,2.88,-16775545,19.303938315290686,nan,-,-,-,-,-,"[50, 20, 15]",-
73,2.92,-16775586,7.41666269939722,nan,-,-,-,-,-,"[50, 20, 15]",-
74,2.96,-16775536,-9.995031259358967,nan,-,-,-,-,-,"[50, 20, 15]",-
