muestra,tiempo,ppg,ppg filtrado,spi,spi_promedio,estado,tipo evento,evento
1,0.04,-1234630,-122.91068170676499,nan,-,-,-,-,-
2,0.08,-1240842,2066.983638124233,nan,-,-,-,-,-
3,0.12,-1241892,3348.62750248898,nan,-,-,-,-,-
4,0.16,-1226163,3494.661972585959,nan,-,-,-,-,-
5,0.2,-1221518,4019.860548236121,nan,-,-,-,-,-
6,0.24,-1231938,5242.468779835709,nan,-,-,-,-,-
7,0.28,-1243665,5825.569270245549,nan,-,-,-,-,-
8,0.32,-1253705,4409.283631322334,nan,-,-,-,-,-
9,0.36,-1259781,1024.5285126620274,nan,-,-,-,-,-
10,0.4,-1263627,-2259.545998300502,nan,-,-,-,-,-
11,0.44,-1267731,-3312.3766216547847,nan,-,-,-,-,-
12,0.48,-1269701,-2141.0951484918296,nan,-,-,-,-,-
13,0.52,-1204721,-2452.5068601777093,nan,-,-,-,-,-
14,0.56,-1173104,-2681.5833861204665,nan,-,-,-,-,-
15,0.6,-1179850,-3181.398185490998,nan,-,-,-,-,-
16,0.64,-1191352,-4169.486506565301,nan,-,-,-,-,-
17,0.68,-1199279,-4394.843688912364,nan,-,-,-,-,-
18,0.72,-1205842,-2960.0474521056167,nan,-,-,-,-,-
19,0.76,-1217667,-112.08294908546668,nan,-,-,-,-,-
20,0.8,-1216914,2768.8544720371683,nan,-,-,-,-,-
21,0.84,-1213530,5786.543136843169,nan,-,-,-,-,-
22,0.88,-1222029,9078.282543736268,nan,-,-,-,-,-
23,0.92,-1235474,10711.131784488818,nan,-,-,-,-,-
24,0.96,-1249105,8397.666188188643,nan,-,-,-,-,-
25,1.0,-1259578,2421.0828914311387,nan,-,-,-,-,-
26,1.04,-1266388,-3702.322678699318,nan,-,-,-,-,-
27,1.08,-1273574,-6563.044916847199,nan,-,-,-,-,-
28,1.12,-1276890,-6193.521439777413,nan,-,-,-,-,-
29,1.16,-1265204,-5004.238837303261,nan,-,-,-,-,-
30,1.2,-1174958,-6695.724978533472,nan,-,-,-,-,-
31,1.24,-1178207,-6184.274322806472,nan,-,-,-,-,-
32,1.28,-1187954,-5907.416272725757,nan,-,-,-,-,-
33,1.32,-1193103,-5429.822516630503,nan,-,-,-,-,-
34,1.36,-1194717,-3986.270961348948,nan,-,-,-,-,-
35,1.4,-1201071,-1284.764879769913,nan,-,-,-,-,-
36,1.44,-1201578,1814.7406300842322,nan,-,-,-,-,-
37,1.48,-1199823,5188.945524337572,nan,-,-,-,-,-
38,1.52,-1203548,9128.803710400554,nan,-,-,-,-,-
39,1.56,-1211418,12582.202335610495,nan,-,-,-,-,-
40,1.6,-1222500,12974.229560887321,nan,-,-,-,-,-
41,1.64,-1235011,8651.319998509229,nan,-,-,-,-,-
42,1.68,-1247552,1769.7858234217601,nan,-,-,-,-,-
43,1.72,-1258294,-3320.7722619015985,nan,-,-,-,-,-
44,1.76,-1268268,-4548.366932932055,nan,-,-,-,-,-
45,1.8,-1277341,-3530.0103869933437,nan,-,-,-,-,-
46,1.84,-1281657,-2792.7741957852736,nan,-,-,-,-,-
47,1.88,-1200051,-5788.605738263846,nan,-,-,-,-,-
48,1.92,-1184866,-7150.845952373435,nan,-,-,-,-,-
49,1.96,-1191964,-7514.795640074335,nan,-,-,-,-,-
50,2.0,-1199266,-7013.428276685685,nan,-,-,-,-,-
