muestra,tiempo,ppg,ppg filtrado,spi,spi_promedio,estado,tipo evento,evento,alarma,limites_alarma,descripcion_alarma
0,0.0,-16775487,-19.744385235420424,nan,nan,-,-,-,Desconexión,"[50, 20, 15]",Desconexión del sensor
1,0.04,-16775652,3.569286172771255,nan,-,-,-,-,Desconexión,"[50, 20, 15]",Desconexión del sensor
2,0.08,-16775533,-70.24450260451867,nan,-,-,-,-,Desconexión,"[50, 20, 15]",Desconexión del sensor
3,0.12,-16775526,-30.62234951257801,nan,-,-,-,-,Desconexión,"[50, 20, 15]",Desconexión del sensor
4,0.16,-16775490,-31.993130637421366,nan,-,-,-,-,Desconexión,"[50, 20, 15]",Desconexión del sensor
5,0.2,-16775490,-10.512554529042957,nan,-,-,-,-,Desconexión,"[50, 20, 15]",Desconexión del sensor
6,0.24,-16775486,8.326983359533484,nan,-,-,-,-,Desconexión,"[50, 20, 15]",Desconexión del sensor
7,0.28,-16775429,-10.723691189986186,nan,-,-,-,-,Desconexión,"[50, 20, 15]",Desconexión del sensor
8,0.32,-16775484,-5.986321460410361,nan,-,-,-,-,Desconexión,"[50, 20, 15]",Desconexión del sensor
9,0.36,-16775546,1.3000725711026588,nan,-,-,-,-,Desconexión,"[50, 20, 15]",Desconexión del sensor
10,0.4,-16775616,45.17494548810278,nan,-,-,-,-,Desconexión,"[50, 20, 15]",Desconexión del sensor
11,0.44,-16775613,48.94340910337641,nan,-,-,-,-,Desconexión,"[50, 20, 15]",Desconexión del sensor
12,0.48,-16775642,80.94758668952629,nan,-,-,-,-,Desconexión,"[50, 20, 15]",Desconexión del sensor
13,0.52,-16775600,-20.564911733234666,nan,-,-,-,-,Desconexión,"[50, 20, 15]",Desconexión del sensor
14,0.56,-16775656,52.214989069356434,nan,-,-,-,-,Desconexión,"[50, 20, 15]",Desconexión del sensor
15,0.6,-16775597,38.177164541468436,nan,-,-,-,-,Desconexión,"[50, 20, 15]",Desconexión del sensor
16,0.64,-16775596,51.25380505844964,nan,-,-,-,-,Desconexión,"[50, 20, 15]",Desconexión del sensor
17,0.68,-16775460,17.96629356301098,nan,-,-,-,-,Desconexión,"[50, 20, 15]",Desconexión del sensor
18,0.72,-16775509,22.761142905470635,nan,-,-,-,-,Desconexión,"[50, 20, 15]",Desconexión del sensor
19,0.76,-16775516,53.15791471378153,nan,-,-,-,-,Desconexión,"[50, 20, 15]",Desconexión del sensor
20,0.8,-16775480,20.28185122621939,nan,-,-,-,-,Desconexión,"[50, 20, 15]",Desconexión del sensor
21,0.84,-16775608,18.969095337678475,nan,-,-,-,-,Desconexión,"[50, 20, 15]",Desconexión del sensor
