muestra,tiempo,ppg,ppg filtrado,spi,spi_promedio,estado,tipo evento,evento
1,0.04,-1217414,2206.5890454527525,nan,-,-,-,-,-
2,0.08,-1221263,2872.5668939217994,nan,-,-,-,-,-
3,0.12,-1223481,2919.570030296355,nan,-,-,-,-,-
4,0.16,-1224972,1891.3184404879016,nan,-,-,-,-,-
5,0.2,-1227242,90.19610682499206,nan,-,-,-,-,-
6,0.24,-1227420,-1564.438325452899,nan,-,-,-,-,-
7,0.28,-1227150,-2153.847408242432,nan,-,-,-,-,-
8,0.32,-1227681,-1715.4191087203376,nan,-,-,-,-,-
9,0.36,-1226974,-1107.7035576564072,nan,-,-,-,-,-
10,0.4,-1217126,-1208.7435878286542,nan,-,-,-,-,-
11,0.44,-1205206,-1731.1941309827762,nan,-,-,-,-,-
12,0.48,-1203019,-1827.9116611908448,nan,-,-,-,-,-
13,0.52,-1206111,-1345.549286028092,nan,-,-,-,-,-
14,0.56,-1210577,-503.31043439892755,nan,-,-,-,-,-
15,0.6,-1214602,369.7627596483944,nan,-,-,-,-,-
16,0.64,-1214367,973.3499150631842,nan,-,-,-,-,-
17,0.68,-1214191,1454.647096078881,nan,-,-,-,-,-
18,0.72,-1217684,2048.8897411416638,nan,-,-,-,-,-
19,0.76,-1221972,2693.67354630092,nan,-,-,-,-,-
20,0.8,-1223232,2966.2909455290137,nan,-,-,-,-,-
21,0.84,-1226271,2492.236990429332,nan,-,-,-,-,-
22,0.88,-1226671,973.8984114929531,nan,-,-,-,-,-
23,0.92,-1227690,-841.2800535304161,nan,-,-,-,-,-
24,0.96,-1227786,-2031.7606004111612,nan,-,-,-,-,-
25,1.0,-1226876,-2202.885542374204,nan,-,-,-,-,-
26,1.04,-1221397,-1906.1581510459037,nan,-,-,-,-,-
27,1.08,-1207430,-1938.6815012341194,nan,-,-,-,-,-
28,1.12,-1202823,-1951.9330792777837,nan,-,-,-,-,-
29,1.16,-1205360,-1732.498222352735,nan,-,-,-,-,-
30,1.2,-1209765,-1132.7123616031383,nan,-,-,-,-,-
31,1.24,-1214800,-220.4849603207931,nan,-,-,-,-,-
32,1.28,-1215640,583.732856863181,nan,-,-,-,-,-
33,1.32,-1215136,1206.0768126636694,nan,-,-,-,-,-
34,1.36,-1216258,1802.126188658618,nan,-,-,-,-,-
35,1.4,-1218850,2453.6728138498684,nan,-,-,-,-,-
36,1.44,-1221134,2910.2081677246724,nan,-,-,-,-,-
37,1.48,-1224458,2718.7467452334113,nan,-,-,-,-,-
38,1.52,-1225630,1470.3026230932055,nan,-,-,-,-,-
39,1.56,-1226987,-327.69230320657493,nan,-,-,-,-,-
40,1.6,-1226832,-1757.2121274255537,nan,-,-,-,-,-
41,1.64,-1227715,-2099.7751161530123,nan,-,-,-,-,-
42,1.68,-1227433,-1652.4025749720058,nan,-,-,-,-,-
43,1.72,-1224115,-1189.1172664667774,nan,-,-,-,-,-
44,1.76,-1210308,-1413.605266186185,nan,-,-,-,-,-
45,1.8,-1203388,-1673.866276514771,nan,-,-,-,-,-
46,1.84,-1203508,-1589.5349561358762,nan,-,-,-,-,-
47,1.88,-1210967,-928.7713484639482,nan,-,-,-,-,-
48,1.92,-1215181,-115.98180439905627,nan,-,-,-,-,-
49,1.96,-1214868,567.8364049333304,nan,-,-,-,-,-
50,2.0,-1214259,1101.014790414467,nan,-,-,-,-,-
51,2.04,-1218880,1708.6433332780507,nan,-,-,-,-,-
52,2.08,-1221439,2293.159030479066,nan,-,-,-,-,-
53,2.12,-1223064,2794.973872843454,nan,-,-,-,-,-
54,2.16,-1226496,2816.5804633704956,nan,-,-,-,-,-
55,2.2,-1226011,1708.6036879838039,nan,-,-,-,-,-
56,2.24,-1227633,-89.41659657326068,nan,-,-,-,-,-
57,2.28,-1228008,-1695.3812306526324,nan,-,-,-,-,-
58,2.32,-1226250,-2308.033392969402,nan,-,-,-,-,-
59,2.36,-1222598,-2042.3225368834383,nan,-,-,-,-,-
60,2.4,-1208054,-1953.813061928413,nan,-,-,-,-,-
61,2.44,-1202064,-1890.0535709852938,nan,-,-,-,-,-
62,2.48,-1204024,-1682.7007525016643,nan,-,-,-,-,-
63,2.52,-1208645,-1136.3785998142675,nan,-,-,-,-,-
64,2.56,-1213265,-297.3463497269204,nan,-,-,-,-,-
65,2.6,-1214962,505.72296237056526,nan,-,-,-,-,-
66,2.64,-1215009,1140.543152694443,nan,-,-,-,-,-
67,2.68,-1215886,1727.7588362854976,nan,-,-,-,-,-
68,2.72,-1218132,2377.401426491837,nan,-,-,-,-,-
69,2.76,-1221061,2901.13684990647,nan,-,-,-,-,-
70,2.8,-1224227,2795.70394605765,nan,-,-,-,-,-
71,2.84,-1225441,1630.6302879133063,nan,-,-,-,-,-
72,2.88,-1226472,-189.62283192907444,nan,-,-,-,-,-
73,2.92,-1227667,-1697.698991641911,nan,-,-,-,-,-
74,2.96,-1227531,-2221.2358194764556,nan,-,-,-,-,-
75,3.0,-1227085,-1857.3272377782873,58,58.0,-,-,-,-
76,3.04,-1218002,-1554.5192305501223,58,-,-,-,-,-
77,3.08,-1203216,-1718.641144587551,58,-,-,-,-,-
78,3.12,-1203688,-1646.1948061066905,58,-,-,-,-,-
79,3.16,-1207334,-1390.0726272492388,58,-,-,-,-,-
80,3.2,-1211775,-800.4064302623833,58,-,-,-,-,-
81,3.24,-1215128,-7.6206082520157,58,-,-,-,-,-
82,3.28,-1214342,663.2393695770279,58,-,-,-,-,-
83,3.32,-1215900,1307.5874413321471,58,-,-,-,-,-
84,3.36,-1218013,1954.904239205961,58,-,-,-,-,-
85,3.4,-1221710,2677.3957502536705,58,-,-,-,-,-
86,3.44,-1223643,3036.3683476848164,58,-,-,-,-,-
87,3.48,-1224754,2487.5652200287705,58,-,-,-,-,-
88,3.52,-1226864,955.5514340618711,58,-,-,-,-,-
89,3.56,-1228459,-866.8980733448159,58,-,-,-,-,-
90,3.6,-1227633,-2006.1130762811554,58,-,-,-,-,-
91,3.64,-1225850,-2085.098559934515,58,-,-,-,-,-
92,3.68,-1217516,-1826.6136497351417,58,-,-,-,-,-
93,3.72,-1205133,-1819.5618027334003,58,-,-,-,-,-
94,3.76,-1202810,-1757.7858337342223,58,-,-,-,-,-
95,3.8,-1205358,-1510.4537351732406,58,-,-,-,-,-
96,3.84,-1209702,-925.7026535686828,58,-,-,-,-,-
97,3.88,-1215374,-80.08162930670096,58,-,-,-,-,-
98,3.92,-1214800,580.5722358775529,58,-,-,-,-,-
99,3.96,-1214901,1214.14111763852,58,-,-,-,-,-
100,4.0,-1216218,1913.2649604681528,58,-,basal,-,-,-
101,4.04,-1220669,2693.8644058212167,58,-,basal,-,-,-
102,4.08,-1223183,3040.9881746930378,58,-,basal,-,-,-
103,4.12,-1223903,2481.0928556978997,58,-,basal,-,-,-
104,4.16,-1225970,1028.289060240901,58,-,basal,-,-,-
105,4.2,-1227028,-771.2452346723217,58,-,basal,-,-,-
106,4.24,-1227500,-1976.5872032629297,58,-,basal,-,-,-
107,4.28,-1227814,-2136.6512074320135,58,-,basal,-,-,-
108,4.32,-1228018,-1614.084563786958,58,-,basal,-,-,-
109,4.36,-1221534,-1318.8121751226872,58,-,basal,-,-,-
110,4.4,-1207030,-1640.0625849853986,58,-,basal,-,-,-
111,4.44,-1202080,-1795.7272590257217,58,-,basal,-,-,-
112,4.48,-1204987,-1448.9979967522768,58,-,basal,-,-,-
