muestra,tiempo,ppg,ppg filtrado,spi,spi_promedio,estado,tipo evento,evento
1,0.02,-1251475,-8338.329872106442,nan,-,-,-,-
2,0.04,-1185512,-11745.258766567902,nan,-,-,-,-
3,0.06,-1118757,-14279.797352965106,nan,-,-,-,-
4,0.08,-1072082,-13918.176515333238,nan,-,-,-,-
5,0.1,-1076370,-8235.781898701942,nan,-,-,-,-
6,0.12,-1068781,-2208.810618328367,nan,-,-,-,-
7,0.14,-1060949,4694.370599893671,nan,-,-,-,-
8,0.16,-1057385,12364.594139416276,nan,-,-,-,-
9,0.18,-1053924,19924.61724343964,nan,-,-,-,-
10,0.2,-1059762,27346.876618413,nan,-,-,-,-
11,0.22,-1066480,33042.92453998676,nan,-,-,-,-
12,0.24,-1069488,35668.58097609326,nan,-,-,-,-
13,0.26,-1075605,35073.902367743285,nan,-,-,-,-
14,0.28,-1082020,31056.764411147844,nan,-,-,-,-
15,0.3,-1089796,24497.0780228918,nan,-,-,-,-
16,0.32,-1101307,16874.208471545047,nan,-,-,-,-
17,0.34,-1113991,9290.71132964248,nan,-,-,-,-
18,0.36,-1119037,1987.761268611066,nan,-,-,-,-
19,0.38,-1129658,-3604.727451780651,nan,-,-,-,-
20,0.4,-1145217,-7528.4214859366475,nan,-,-,-,-
21,0.42,-1163670,-10178.207157396886,nan,-,-,-,-
22,0.44,-1178585,-12366.306103199255,nan,-,-,-,-
23,0.46,-1195623,-13952.071204586697,nan,-,-,-,-
24,0.48,-1222816,-14546.86254625766,nan,-,-,-,-
25,0.5,-1240010,-15840.672799407563,nan,-,-,-,-
26,0.52,-1244159,-18111.067436186437,nan,-,-,-,-
27,0.54,-1239500,-20976.22468511505,nan,-,-,-,-
28,0.56,-1237617,-23417.32573226885,nan,-,-,-,-
29,0.58,-1231104,-25806.226913194303,nan,-,-,-,-
30,0.6,-1230527,-27072.159020416846,nan,-,-,-,-
31,0.62,-1217358,-28317.033925025084,nan,-,-,-,-
32,0.64,-1205419,-28164.790857023232,nan,-,-,-,-
33,0.66,-1196194,-26282.731370611138,nan,-,-,-,-
34,0.68,-1195396,-22224.028242982808,nan,-,-,-,-
35,0.7,-1193184,-16995.205915485873,nan,-,-,-,-
36,0.72,-1199641,-10330.985784545795,nan,-,-,-,-
37,0.74,-1201189,-3935.2509220429347,nan,-,-,-,-
38,0.76,-1206399,2180.7399474478734,nan,-,-,-,-
39,0.78,-1206797,6847.732829921311,nan,-,-,-,-
40,0.8,-1209783,10327.872251246677,nan,-,-,-,-
41,0.82,-1211892,12268.598701441864,nan,-,-,-,-
42,0.84,-1214017,12836.164018412477,nan,-,-,-,-
43,0.86,-1218527,12466.070057993926,nan,-,-,-,-
44,0.88,-1213880,10653.293602873207,nan,-,-,-,-
45,0.9,-1217215,9145.756401205152,nan,-,-,-,-
46,0.92,-1219833,7665.182423373917,nan,-,-,-,-
47,0.94,-1224295,6660.576633185396,nan,-,-,-,-
48,0.96,-1222784,5631.148112828247,nan,-,-,-,-
49,0.98,-1226790,5414.389011136222,nan,-,-,-,-
50,1.0,-1227888,5235.220440667561,nan,-,-,-,-
51,1.02,-1225557,4904.88683450258,nan,-,-,-,-
52,1.04,-1227276,4879.251977467267,nan,-,-,-,-
53,1.06,-1226078,4555.629542687919,nan,-,-,-,-
54,1.08,-1231707,4656.488322273718,nan,-,-,-,-
55,1.1,-1231243,4210.116734292399,nan,-,-,-,-
56,1.12,-1239619,4399.733026299198,nan,-,-,-,-
57,1.14,-1240606,4021.7659304521885,nan,-,-,-,-
58,1.16,-1246311,4012.365759904558,nan,-,-,-,-
59,1.18,-1247189,3612.765602547389,nan,-,-,-,-
60,1.2,-1254008,3585.9184841613496,nan,-,-,-,-
61,1.22,-1255845,3031.5493041847803,nan,-,-,-,-
62,1.24,-1261411,2581.1090800191378,nan,-,-,-,-
63,1.26,-1264862,1802.358645565857,nan,-,-,-,-
64,1.28,-1269140,985.7508726238902,nan,-,-,-,-
65,1.3,-1275231,298.38332054748753,nan,-,-,-,-
66,1.32,-1278601,-522.7300206083237,nan,-,-,-,-
67,1.34,-1283950,-1064.599451631164,nan,-,-,-,-
68,1.36,-1282491,-1982.4388268878674,nan,-,-,-,-
69,1.38,-1289259,-2135.5620754540923,nan,-,-,-,-
70,1.4,-1289557,-2672.5279002814386,nan,-,-,-,-
