muestra,tiempo,ppg,ppg filtrado,spi,spi_promedio,estado,tipo evento,evento,alarma,limites_alarma,descripcion_alarma
1,0.04,-16775564,11.678699996943465,nan,-,-,-,-,-,"[50, 20, 15]",-
2,0.08,-16775593,36.18564498812119,nan,-,-,-,-,-,"[50, 20, 15]",-
3,0.12,-16775530,8.331619689777611,nan,-,-,-,-,-,"[50, 20, 15]",-
4,0.16,-16775407,-13.843570110650283,nan,-,-,-,-,-,"[50, 20, 15]",-
5,0.2,-16775425,10.084762280140211,nan,-,-,-,-,-,"[50, 20, 15]",-
6,0.24,-16775517,34.674477870586934,nan,-,-,-,-,-,"[50, 20, 15]",-
7,0.28,-16775448,32.29475184558724,nan,-,-,-,-,-,"[50, 20, 15]",-
8,0.32,-16775512,-15.259257772089525,nan,-,-,-,-,-,"[50, 20, 15]",-
9,0.36,-16775500,0.3365344106683732,nan,-,-,-,-,-,"[50, 20, 15]",-
10,0.4,-16775585,14.171090907689534,nan,-,-,-,-,-,"[50, 20, 15]",-
11,0.44,-16775497,-3.5891200308003115,nan,-,-,-,-,-,"[50, 20, 15]",-
12,0.48,-16775564,-3.1342157341019394,nan,-,-,-,-,-,"[50, 20, 15]",-
13,0.52,-16775543,24.191416221625076,nan,-,-,-,-,-,"[50, 20, 15]",-
14,0.56,-16775483,33.161855192558605,nan,-,-,-,-,-,"[50, 20, 15]",-
15,0.6,-16775612,13.439151292896119,nan,-,-,-,-,-,"[50, 20, 15]",-
16,0.64,-16775561,61.73706867275694,nan,-,-,-,-,-,"[50, 20, 15]",-
17,0.68,-16775546,-22.06265740552121,nan,-,-,-,-,-,"[50, 20, 15]",-
18,0.72,-16775500,-3.185356134592756,nan,-,-,-,-,-,"[50, 20, 15]",-
19,0.76,-16775429,-34.53219040368333,nan,-,-,-,-,-,"[50, 20, 15]",-
20,0.8,-16775544,-7.971888897023336,nan,-,-,-,-,-,"[50, 20, 15]",-
21,0.84,-16775470,-20.172463861685046,nan,-,-,-,-,-,"[50, 20, 15]",-
22,0.88,-16775517,11.742551655182607,nan,-,-,-,-,-,"[50, 20, 15]",-
23,0.92,-16775436,-20.8281146598819,nan,-,-,-,-,-,"[50, 20, 15]",-
24,0.96,-16775517,8.577110460437389,nan,-,-,-,-,-,"[50, 20, 15]",-
25,1.0,-16775467,0.7192783598497527,nan,-,-,-,-,-,"[50, 20, 15]",-
26,1.04,-16775545,-9.810456259690767,nan,-,-,-,-,-,"[50, 20, 15]",-
27,1.08,-16775551,-36.29446824033121,nan,-,-,-,-,-,"[50, 20, 15]",-
28,1.12,-16775449,14.9723402593416,nan,-,-,-,-,-,"[50, 20, 15]",-
29,1.16,-16775403,10.422850478689151,nan,-,-,-,-,-,"[50, 20, 15]",-
30,1.2,-16775526,9.499617165152385,nan,-,-,-,-,-,"[50, 20, 15]",-
31,1.24,-16775574,-10.639376915141616,nan,-,-,-,-,-,"[50, 20, 15]",-
32,1.28,-16775460,-34.08353736699768,nan,-,-,-,-,-,"[50, 20, 15]",-
33,1.32,-16775579,1.3527752649643956,nan,-,-,-,-,-,"[50, 20, 15]",-
34,1.36,-16775548,9.139532222260145,nan,-,-,-,-,-,"[50, 20, 15]",-
35,1.4,-16775574,-13.166021871397536,nan,-,-,-,-,-,"[50, 20, 15]",-
36,1.44,-16775548,3.096400892788325,nan,-,-,-,-,-,"[50, 20, 15]",-
37,1.48,-16775546,-11.557704268719446,nan,-,-,-,-,-,"[50, 20, 15]",-
38,1.52,-16775434,0.9229070617104869,nan,-,-,-,-,-,"[50, 20, 15]",-
39,1.56,-16775438,6.075098494170471,nan,-,-,-,-,-,"[50, 20, 15]",-
40,1.6,-16775467,-23.39696012625664,nan,-,-,-,-,-,"[50, 20, 15]",-
41,1.64,-16775486,-43.0193100252316,nan,-,-,-,-,-,"[50, 20, 15]",-
42,1.68,-16775505,-7.317010548244193,nan,-,-,-,-,-,"[50, 20, 15]",-
43,1.72,-16775548,15.075085250265769,nan,-,-,-,-,-,"[50, 20, 15]",-
44,1.76,-16775553,-18.533021115891703,nan,-,-,-,-,-,"[50, 20, 15]",-
45,1.8,-16775530,16.676071781987766,nan,-,-,-,-,-,"[50, 20, 15]",-
46,1.84,-16775504,9.534185607366148,nan,-,-,-,-,-,"[50, 20, 15]",-
47,1.88,-16775475,19.221136347113976,nan,-,-,-,-,-,"[50, 20, 15]",-
48,1.92,-16775506,19.11096940229135,nan,-,-,-,-,-,"[50, 20, 15]",-
49,1.96,-16775513,22.728826073937558,nan,-,-,-,-,-,"[50, 20, 15]",-
50,2.0,-16775584,-6.411555774518854,nan,-,-,-,-,-,"[50, 20, 15]",-
51,2.04,-16775641,-6.540543295611334,nan,-,-,-,-,-,"[50, 20, 15]",-
52,2.08,-16775563,-10.932494070430534,nan,-,-,-,-,-,"[50, 20, 15]",-
53,2.12,-16775530,-12.626124345371139,nan,-,-,-,-,-,"[50, 20, 15]",-
54,2.16,-16775529,-7.592298036623273,nan,-,-,-,-,-,"[50, 20, 15]",-
55,2.2,-16775528,-0.1500206884829841,nan,-,-,-,-,-,"[50, 20, 15]",-
56,2.24,-16775497,-0.14994095409061492,nan,-,-,-,-,-,"[50, 20, 15]",-
57,2.28,-16775587,0.004792748613192455,nan,-,-,-,-,-,"[50, 20, 15]",-
58,2.32,-16775556,-8.347059063856433,nan,-,-,-,-,-,"[50, 20, 15]",-
59,2.36,-16775513,-18.39912259789359,nan,-,-,-,-,-,"[50, 20, 15]",-
60,2.4,-16775572,-13.876048198232365,nan,-,-,-,-,-,"[50, 20, 15]",-
61,2.44,-16775399,-0.426511188289739,nan,-,-,-,-,-,"[50, 20, 15]",-
62,2.48,-16775522,-1.2490130701113409,nan,-,-,-,-,-,"[50, 20, 15]",-
63,2.52,-16775499,-68.24088389312453,nan,-,-,-,-,-,"[50, 20, 15]",-
64,2.56,-16775529,-22.07305347096571,nan,-,-,-,-,-,"[50, 20, 15]",-
65,2.6,-16775561,0.4721495145431245,nan,-,-,-,-,-,"[50, 20, 15]",-
