muestra,tiempo,ppg,ppg filtrado,spi,spi_promedio,estado,tipo evento,evento
1,0.04,-1206042,2360.6886990840167,nan,-,-,-,-,-
2,0.08,-1208779,2929.177095558978,nan,-,-,-,-,-
3,0.12,-1210578,2863.567870543431,nan,-,-,-,-,-
4,0.16,-1212176,1787.0978356763126,nan,-,-,-,-,-
5,0.2,-1212476,-27.646634892812017,nan,-,-,-,-,-
6,0.24,-1213109,-1586.382821990027,nan,-,-,-,-,-
7,0.28,-1213686,-2165.8979147361815,nan,-,-,-,-,-
8,0.32,-1213166,-1896.784076866289,nan,-,-,-,-,-
9,0.36,-1208341,-1543.2615101360489,nan,-,-,-,-,-
10,0.4,-1193136,-1775.3093290770594,nan,-,-,-,-,-
11,0.44,-1188964,-1826.5129935470613,nan,-,-,-,-,-
12,0.48,-1190901,-1513.330655704388,nan,-,-,-,-,-
13,0.52,-1197006,-757.8095527098485,nan,-,-,-,-,-
14,0.56,-1201280,86.86589991399433,nan,-,-,-,-,-
15,0.6,-1201818,730.1420110090803,nan,-,-,-,-,-
16,0.64,-1200889,1175.3579839020094,nan,-,-,-,-,-
17,0.68,-1202378,1671.2666807242713,nan,-,-,-,-,-
18,0.72,-1205162,2300.613085887857,nan,-,-,-,-,-
19,0.76,-1207329,2802.0581872542034,nan,-,-,-,-,-
20,0.8,-1209964,2655.788552124399,nan,-,-,-,-,-
21,0.84,-1211429,1433.2996966233336,nan,-,-,-,-,-
22,0.88,-1211891,-431.41323888562783,nan,-,-,-,-,-
23,0.92,-1214049,-1809.067227551573,nan,-,-,-,-,-
24,0.96,-1215281,-2094.899086455602,nan,-,-,-,-,-
25,1.0,-1214262,-1599.1727754341714,nan,-,-,-,-,-
26,1.04,-1212192,-1078.3501075064923,nan,-,-,-,-,-
27,1.08,-1202901,-1210.6075473639085,nan,-,-,-,-,-
28,1.12,-1191009,-1690.4393293302128,nan,-,-,-,-,-
29,1.16,-1190068,-1659.7933363397533,nan,-,-,-,-,-
30,1.2,-1193663,-1129.5137073473556,nan,-,-,-,-,-
31,1.24,-1198859,-330.09313265709034,nan,-,-,-,-,-
32,1.28,-1201621,373.50324334155994,nan,-,-,-,-,-
33,1.32,-1199947,826.2346955242983,nan,-,-,-,-,-
34,1.36,-1203901,1445.5126203127038,nan,-,-,-,-,-
35,1.4,-1206530,2122.2422909067564,nan,-,-,-,-,-
36,1.44,-1209688,2806.5783040830966,nan,-,-,-,-,-
37,1.48,-1211781,3022.104574362542,nan,-,-,-,-,-
38,1.52,-1212256,2277.4560091983876,nan,-,-,-,-,-
39,1.56,-1213509,669.1734633564731,nan,-,-,-,-,-
40,1.6,-1213345,-1129.3113026822823,nan,-,-,-,-,-
41,1.64,-1214389,-2122.3055765950057,nan,-,-,-,-,-
42,1.68,-1212925,-2184.0448596669594,nan,-,-,-,-,-
43,1.72,-1204728,-1977.1134467142856,nan,-,-,-,-,-
44,1.76,-1191911,-2025.0497819676766,nan,-,-,-,-,-
45,1.8,-1190239,-1888.3899715208263,nan,-,-,-,-,-
46,1.84,-1191458,-1524.2892890720104,nan,-,-,-,-,-
47,1.88,-1197608,-701.9333983177912,nan,-,-,-,-,-
48,1.92,-1201565,186.37566118318682,nan,-,-,-,-,-
49,1.96,-1200801,811.3909546712948,nan,-,-,-,-,-
50,2.0,-1200160,1281.8268062675743,nan,-,-,-,-,-
51,2.04,-1203275,1866.6748624719903,nan,-,-,-,-,-
52,2.08,-1205503,2487.080037948226,nan,-,-,-,-,-
53,2.12,-1208772,2905.2989969591854,nan,-,-,-,-,-
54,2.16,-1212393,2550.6382287057168,nan,-,-,-,-,-
55,2.2,-1211619,1079.4140773771655,nan,-,-,-,-,-
56,2.24,-1213360,-686.9862649294873,nan,-,-,-,-,-
57,2.28,-1214164,-1883.9775735509083,nan,-,-,-,-,-
58,2.32,-1214221,-2041.0230057928063,nan,-,-,-,-,-
59,2.36,-1213804,-1542.6500436150627,nan,-,-,-,-,-
60,2.4,-1210607,-1197.0022805848948,nan,-,-,-,-,-
61,2.44,-1195674,-1621.9374736501104,nan,-,-,-,-,-
62,2.48,-1188923,-1917.485980785461,nan,-,-,-,-,-
63,2.52,-1190234,-1670.6575777847138,nan,-,-,-,-,-
64,2.56,-1196048,-877.6307950501339,nan,-,-,-,-,-
65,2.6,-1201579,87.17048385190446,nan,-,-,-,-,-
66,2.64,-1201151,751.941301473903,nan,-,-,-,-,-
67,2.68,-1200777,1219.8125998202668,nan,-,-,-,-,-
68,2.72,-1204926,1781.7598155353726,nan,-,-,-,-,-
69,2.76,-1208477,2423.6400380770638,nan,-,-,-,-,-
70,2.8,-1209939,2936.103597070771,nan,-,-,-,-,-
71,2.84,-1212744,2894.558034837938,nan,-,-,-,-,-
72,2.88,-1212654,1714.3235719708505,nan,-,-,-,-,-
73,2.92,-1214262,-158.22623082855125,nan,-,-,-,-,-
74,2.96,-1214377,-1804.503839351861,nan,-,-,-,-,-
75,3.0,-1213788,-2382.0858411653685,57,57.0,-,-,-,-
76,3.04,-1196104,-2551.8799373510483,57,-,-,-,-,-
77,3.08,-1190113,-2148.4620901587296,57,-,-,-,-,-
78,3.12,-1192082,-1764.2717921895437,57,-,-,-,-,-
79,3.16,-1194989,-1455.3133170495994,57,-,-,-,-,-
80,3.2,-1200851,-811.656935845861,57,-,-,-,-,-
81,3.24,-1202678,-47.22822468081267,57,-,-,-,-,-
82,3.28,-1200583,605.144878197329,57,-,-,-,-,-
83,3.32,-1202435,1300.6034365766832,57,-,-,-,-,-
84,3.36,-1205327,2053.717699705262,57,-,-,-,-,-
85,3.4,-1207107,2746.465608116383,57,-,-,-,-,-
86,3.44,-1210381,2967.286217119102,57,-,-,-,-,-
87,3.48,-1212504,2085.3423471845417,57,-,-,-,-,-
88,3.52,-1212962,282.01260004855203,57,-,-,-,-,-
89,3.56,-1214087,-1356.3822423481483,57,-,-,-,-,-
90,3.6,-1214276,-2002.678638776913,57,-,-,-,-,-
91,3.64,-1215194,-1651.9115612915666,57,-,-,-,-,-
92,3.68,-1212245,-1176.6232996089593,57,-,-,-,-,-
93,3.72,-1202358,-1255.3964448859933,57,-,-,-,-,-
94,3.76,-1190391,-1706.9186613279544,57,-,-,-,-,-
95,3.8,-1189601,-1710.8792294657705,57,-,-,-,-,-
96,3.84,-1194129,-1192.313959652984,57,-,-,-,-,-
97,3.88,-1199592,-359.77425107169256,57,-,-,-,-,-
98,3.92,-1201613,408.3849256523672,57,-,-,-,-,-
99,3.96,-1200920,963.8017406548915,57,-,-,-,-,-
100,4.0,-1203034,1505.5866282869647,57,-,-,-,-,-
101,4.04,-1207675,2167.564493607153,57,-,-,-,-,-
102,4.08,-1209096,2748.555275130964,57,-,-,-,-,-
103,4.12,-1211547,2981.374286277787,57,-,-,-,-,-
104,4.16,-1213320,2267.602898847358,57,-,-,-,-,-
105,4.2,-1213172,554.1253306261212,57,-,-,-,-,-
106,4.24,-1213824,-1264.3842339703456,57,-,-,-,-,-
107,4.28,-1213650,-2263.8218348832715,57,-,-,-,-,-
108,4.32,-1212683,-2218.7815330688773,57,-,-,-,-,-
109,4.36,-1202368,-2003.3277354734328,57,-,-,-,-,-
110,4.4,-1193731,-1895.34758053933,57,-,-,-,-,-
111,4.44,-1189602,-1854.0356382557457,57,-,-,-,-,-
112,4.48,-1191918,-1479.1901975717265,57,-,-,-,-,-
113,4.52,-1196890,-712.4757891272991,57,-,-,-,-,-
114,4.56,-1200833,174.5246879452843,57,-,-,-,-,-
115,4.6,-1201484,875.8431838005954,57,-,-,-,-,-
116,4.64,-1201563,1415.6181287481277,57,-,-,-,-,-
117,4.68,-1203327,1968.5501447626075,57,-,-,-,-,-
118,4.72,-1206464,2556.4865775500075,57,-,-,-,-,-
119,4.76,-1209149,2842.744995869305,57,-,-,-,-,-
120,4.8,-1210565,2337.0196660390384,57,-,-,-,-,-
121,4.84,-1212397,976.8056212111646,57,-,-,-,-,-
122,4.88,-1212362,-748.6862291916009,57,-,-,-,-,-
123,4.92,-1214160,-1863.9482230313956,57,-,-,-,-,-
124,4.96,-1214296,-2067.3782792777984,57,-,-,-,-,-
125,5.0,-1214296,-1623.739643468216,57,-,-,-,-,-
126,5.04,-1209878,-1296.4757751445404,57,-,-,-,-,-
127,5.08,-1193921,-1636.7558854813196,57,-,-,-,-,-
128,5.12,-1189488,-1736.6639720893236,57,-,-,-,-,-
129,5.16,-1191955,-1414.2747753544572,57,-,-,-,-,-
130,5.2,-1195103,-764.099392085361,57,-,-,-,-,-
131,5.24,-1202002,137.01674106123664,57,-,-,-,-,-
132,5.28,-1202527,740.7750890665111,57,-,-,-,-,-
133,5.32,-1201509,1156.6374933976058,57,-,-,-,-,-
134,5.36,-1205708,1747.3870490101244,57,-,-,-,-,-
135,5.4,-1209859,2456.3744376208997,57,-,-,-,-,-
136,5.44,-1210449,2949.482305752148,57,-,-,-,-,-
137,5.48,-1212429,2809.9514288068603,57,-,-,-,-,-
138,5.52,-1213889,1581.368252319085,57,-,-,-,-,-
139,5.56,-1213164,-379.69631110530116,57,-,-,-,-,-
140,5.6,-1214891,-1890.4718185290762,57,-,-,-,-,-
141,5.64,-1212914,-2435.498049481904,57,-,-,-,-,-
142,5.68,-1207680,-2198.17667185954,57,-,-,-,-,-
143,5.72,-1193499,-2069.948016402528,57,-,-,-,-,-
144,5.76,-1190711,-1822.546608572491,57,-,-,-,-,-
145,5.8,-1191850,-1544.0491883117002,57,-,-,-,-,-
146,5.84,-1196071,-943.2972151834349,57,-,-,-,-,-
147,5.88,-1201119,-77.74527430718899,57,-,-,-,-,-
148,5.92,-1201911,649.5583620352436,57,-,-,-,-,-
149,5.96,-1200286,1160.0816098451742,57,-,-,-,-,-
150,6.0,-1203267,1765.3098963902303,58,57.5,-,-,-,-
151,6.04,-1208637,2482.146259200662,58,-,-,-,-,-
152,6.08,-1210473,2901.831015335434,58,-,-,-,-,-
153,6.12,-1212024,2624.2890373845366,58,-,-,-,-,-
154,6.16,-1212694,1355.489747640091,58,-,-,-,-,-
155,6.2,-1213559,-414.96066729782,58,-,-,-,-,-
156,6.24,-1214403,-1758.7954764090327,58,-,-,-,-,-
157,6.28,-1213760,-2148.0881545207935,58,-,-,-,-,-
158,6.32,-1211005,-1850.6208227503184,58,-,-,-,-,-
159,6.36,-1196912,-1838.6476144963435,58,-,-,-,-,-
160,6.4,-1190111,-1886.546724726135,58,-,-,-,-,-
161,6.44,-1190938,-1771.490822487498,58,-,-,-,-,-
162,6.48,-1194798,-1248.3667775255196,58,-,-,-,-,-
163,6.52,-1198954,-362.87832495866996,58,-,-,-,-,-
164,6.56,-1202289,535.9793338231457,58,-,-,-,-,-
165,6.6,-1200813,1080.7328349226636,58,-,-,-,-,-
166,6.64,-1203004,1621.498082791084,58,-,-,-,-,-
167,6.68,-1206929,2281.507646120198,58,-,-,-,-,-
168,6.72,-1208575,2832.035251276884,58,-,-,-,-,-
169,6.76,-1211705,2897.300183760336,58,-,-,-,-,-
170,6.8,-1212612,1904.6120500899947,58,-,-,-,-,-
171,6.84,-1214584,185.69120907923798,58,-,-,-,-,-
172,6.88,-1213886,-1474.5505024246004,58,-,-,-,-,-
173,6.92,-1214231,-2173.5310826299756,58,-,-,-,-,-
174,6.96,-1210906,-2072.472898505869,58,-,-,-,-,-
175,7.0,-1197927,-1968.5027958369665,58,-,-,-,-,-
176,7.04,-1190890,-1859.2910372754377,58,-,-,-,-,-
177,7.08,-1189773,-1737.4155257053499,58,-,-,-,-,-
178,7.12,-1194238,-1310.1250989024657,58,-,-,-,-,-
179,7.16,-1199630,-568.4828052314897,58,-,-,-,-,-
180,7.2,-1201536,220.0494892087827,58,-,-,-,-,-
181,7.24,-1200918,897.0152015187832,58,-,-,-,-,-
182,7.28,-1201462,1541.2389949593771,58,-,-,-,-,-
183,7.32,-1204289,2246.5112967699624,58,-,-,-,-,-
184,7.36,-1206764,2829.7189516996523,58,-,-,-,-,-
185,7.4,-1210291,2928.1270114800063,58,-,-,-,-,-
186,7.44,-1211725,2025.3001827514227,58,-,-,-,-,-
187,7.48,-1212684,332.03355159571765,58,-,-,-,-,-
188,7.52,-1214004,-1288.4616925242528,58,-,-,-,-,-
189,7.56,-1215021,-2031.8221051522603,58,-,-,-,-,-
