muestra,tiempo,ppg,ppg filtrado,spi,spi_promedio,estado,tipo evento,evento,alarma
1,0.04,-991189,-1380.662028838323,nan,-,-,-,-,-
2,0.08,-991560,-1806.5850374963018,nan,-,-,-,-,-
3,0.12,-991418,-1525.705613483712,nan,-,-,-,-,-
4,0.16,-990868,-1052.0965965568548,nan,-,-,-,-,-
5,0.2,-988723,-876.4674180959846,nan,-,-,-,-,-
6,0.24,-977857,-1264.9579803204906,nan,-,-,-,-,-
7,0.28,-971584,-1488.1984287160012,nan,-,-,-,-,-
8,0.32,-970434,-1276.4914211679425,nan,-,-,-,-,-
9,0.36,-972914,-713.8104727057826,nan,-,-,-,-,-
10,0.4,-976197,-79.09465862680645,nan,-,-,-,-,-
11,0.44,-979905,513.5987761567621,nan,-,-,-,-,-
12,0.48,-980334,970.0871167460009,nan,-,-,-,-,-
13,0.52,-979655,1412.7554811642012,nan,-,-,-,-,-
14,0.56,-983188,2014.3154429528286,nan,-,-,-,-,-
15,0.6,-985505,2471.6000827062526,nan,-,-,-,-,-
16,0.64,-986751,2471.0484410509916,nan,-,-,-,-,-
17,0.68,-988320,1741.5261431030249,nan,-,-,-,-,-
18,0.72,-989619,366.0746852029579,nan,-,-,-,-,-
19,0.76,-990482,-1038.3327028629055,nan,-,-,-,-,-
20,0.8,-991128,-1809.1936825444068,nan,-,-,-,-,-
21,0.84,-991585,-1800.1213507642008,nan,-,-,-,-,-
22,0.88,-990885,-1422.1805501418212,nan,-,-,-,-,-
23,0.92,-989024,-1147.9007379499071,nan,-,-,-,-,-
24,0.96,-982190,-1256.5820617672143,nan,-,-,-,-,-
25,1.0,-972684,-1482.4536614823228,nan,-,-,-,-,-
26,1.04,-970698,-1271.1321571198878,nan,-,-,-,-,-
27,1.08,-972735,-729.497966735612,nan,-,-,-,-,-
28,1.12,-976578,-77.02836073211142,nan,-,-,-,-,-
29,1.16,-978862,470.3575423267039,nan,-,-,-,-,-
30,1.2,-980900,946.2572711874445,nan,-,-,-,-,-
31,1.24,-979451,1294.9579119912783,nan,-,-,-,-,-
32,1.28,-980575,1757.0616911312381,nan,-,-,-,-,-
33,1.32,-982731,2224.4435528213426,nan,-,-,-,-,-
34,1.36,-985232,2412.7267634300315,nan,-,-,-,-,-
35,1.4,-986353,1917.5843267721384,nan,-,-,-,-,-
36,1.44,-987293,723.1057195851577,nan,-,-,-,-,-
37,1.48,-988534,-670.6575102856102,nan,-,-,-,-,-
38,1.52,-990394,-1550.9759436480717,nan,-,-,-,-,-
39,1.56,-991423,-1652.1778921027421,nan,-,-,-,-,-
40,1.6,-991720,-1256.3537745362532,nan,-,-,-,-,-
41,1.64,-991196,-887.3349874254395,nan,-,-,-,-,-
42,1.68,-985776,-958.577474498753,nan,-,-,-,-,-
43,1.72,-973839,-1408.4764613833686,nan,-,-,-,-,-
44,1.76,-971206,-1436.8817983533027,nan,-,-,-,-,-
45,1.8,-971893,-1094.6026918557272,nan,-,-,-,-,-
46,1.84,-975511,-501.2680518769125,nan,-,-,-,-,-
47,1.88,-978918,66.4327188201828,nan,-,-,-,-,-
48,1.92,-981275,530.2178546886544,nan,-,-,-,-,-
49,1.96,-980361,903.6345444397202,nan,-,-,-,-,-
50,2.0,-979853,1402.8534524699544,nan,-,-,-,-,-
51,2.04,-983015,2095.1075462873696,nan,-,-,-,-,-
52,2.08,-985106,2546.7193764101476,nan,-,-,-,-,-
53,2.12,-986768,2338.558797202819,nan,-,-,-,-,-
54,2.16,-987741,1263.6179500766007,nan,-,-,-,-,-
55,2.2,-989826,-214.10641036266315,nan,-,-,-,-,-
56,2.24,-989962,-1406.6243352774532,nan,-,-,-,-,-
57,2.28,-990191,-1754.3673749342322,nan,-,-,-,-,-
58,2.32,-990299,-1423.1919481676427,nan,-,-,-,-,-
59,2.36,-990437,-950.2326648187391,nan,-,-,-,-,-
60,2.4,-987000,-860.3672689185832,nan,-,-,-,-,-
61,2.44,-976841,-1243.9941109469983,nan,-,-,-,-,-
62,2.48,-971238,-1437.1302616471385,nan,-,-,-,-,-
63,2.52,-971713,-1162.3323726152757,nan,-,-,-,-,-
64,2.56,-975088,-563.5748885282101,nan,-,-,-,-,-
65,2.6,-978154,77.01569342627135,nan,-,-,-,-,-
66,2.64,-980514,623.6419449378336,nan,-,-,-,-,-
67,2.68,-979781,983.4074519642318,nan,-,-,-,-,-
68,2.72,-981645,1399.13290184367,nan,-,-,-,-,-
69,2.76,-979874,1738.4277887820244,nan,-,-,-,-,-
70,2.8,-983326,2188.422441984957,nan,-,-,-,-,-
71,2.84,-983455,2119.890892556276,nan,-,-,-,-,-
72,2.88,-987104,1427.1779242164785,nan,-,-,-,-,-
73,2.92,-989657,138.64331479294833,nan,-,-,-,-,-
74,2.96,-989911,-1099.7210116513968,nan,-,-,-,-,-
75,3.0,-990584,-1605.9966655884855,65,65.0,-,-,-,-
76,3.04,-992567,-1353.2157547752613,65,-,-,-,-,-
77,3.08,-989414,-1007.1667549524591,65,-,-,-,-,-
78,3.12,-980301,-1011.5916650882555,65,-,-,-,-,-
79,3.16,-971728,-1246.7042948058734,65,-,-,-,-,-
80,3.2,-970359,-1337.021300929273,65,-,-,-,-,-
81,3.24,-972699,-1189.9317490494868,65,-,-,-,-,-
82,3.28,-976877,-756.6761929998543,65,-,-,-,-,-
83,3.32,-979521,-167.19630010549372,65,-,-,-,-,-
84,3.36,-981521,495.64130480631593,65,-,-,-,-,-
85,3.4,-980144,1052.9258911414486,65,-,-,-,-,-
86,3.44,-981803,1710.1064448197258,65,-,-,-,-,-
87,3.48,-983881,2334.3740269764585,65,-,-,-,-,-
88,3.52,-984588,2554.428251911442,65,-,-,-,-,-
89,3.56,-986914,2043.245103609161,65,-,-,-,-,-
90,3.6,-988072,711.215039853018,65,-,-,-,-,-
91,3.64,-988574,-791.3537529314635,65,-,-,-,-,-
92,3.68,-988627,-1690.5803501667688,65,-,-,-,-,-
93,3.72,-991601,-1632.2532882279068,65,-,-,-,-,-
94,3.76,-991367,-1178.3289697010248,65,-,-,-,-,-
95,3.8,-992986,-700.4127664480112,65,-,-,-,-,-
96,3.84,-988820,-699.8651175993464,65,-,-,-,-,-
97,3.88,-973416,-1233.5511165389507,65,-,-,-,-,-
98,3.92,-970096,-1292.6509410873696,65,-,-,-,-,-
99,3.96,-971744,-973.6633396221514,65,-,-,-,-,-
100,4.0,-975852,-415.5535785378818,65,-,-,-,-,-
