muestra,tiempo,ppg,ppg filtrado,spi,spi_promedio,estado,tipo evento,evento,alarma
1,0.04,-775282,1330.8879127526716,nan,-,-,-,-,-
2,0.08,-775994,1690.9148310231885,nan,-,-,-,-,-
3,0.12,-778388,1895.465382237806,nan,-,-,-,-,-
4,0.16,-779919,1545.9032288033795,nan,-,-,-,-,-
5,0.2,-782733,669.958145206499,nan,-,-,-,-,-
6,0.24,-783273,-457.9521121300977,nan,-,-,-,-,-
7,0.28,-782890,-1251.2227346376476,nan,-,-,-,-,-
8,0.32,-783018,-1403.8717974396586,nan,-,-,-,-,-
9,0.36,-783861,-1086.6401286124628,nan,-,-,-,-,-
10,0.4,-782905,-766.2855031034119,nan,-,-,-,-,-
11,0.44,-779252,-736.3042970717879,nan,-,-,-,-,-
12,0.48,-770172,-1072.6382696943147,nan,-,-,-,-,-
13,0.52,-767443,-1195.8288848090688,nan,-,-,-,-,-
14,0.56,-768173,-1007.0730201430288,nan,-,-,-,-,-
15,0.6,-770496,-519.6396913852961,nan,-,-,-,-,-
16,0.64,-773671,129.60986545278683,nan,-,-,-,-,-
17,0.68,-774595,656.0658713150688,nan,-,-,-,-,-
18,0.72,-773945,980.2520911112197,nan,-,-,-,-,-
19,0.76,-774467,1263.1522652587423,nan,-,-,-,-,-
20,0.8,-776906,1644.9310939708776,nan,-,-,-,-,-
21,0.84,-779304,1960.3752243340004,nan,-,-,-,-,-
22,0.88,-780996,1839.3317349823792,nan,-,-,-,-,-
23,0.92,-781920,1051.1403401157077,nan,-,-,-,-,-
24,0.96,-782441,-130.07541405102324,nan,-,-,-,-,-
25,1.0,-783053,-1076.6705110956352,nan,-,-,-,-,-
26,1.04,-783770,-1376.7344578684147,nan,-,-,-,-,-
27,1.08,-783255,-1185.193587663661,nan,-,-,-,-,-
28,1.12,-783336,-874.3186693158714,nan,-,-,-,-,-
29,1.16,-781603,-833.7036430004337,nan,-,-,-,-,-
30,1.2,-771638,-1223.618322373888,nan,-,-,-,-,-
31,1.24,-767664,-1319.7393893497356,nan,-,-,-,-,-
32,1.28,-767734,-1015.2923830793306,nan,-,-,-,-,-
33,1.32,-769086,-475.0608553480756,nan,-,-,-,-,-
34,1.36,-772528,133.83113599885837,nan,-,-,-,-,-
35,1.4,-774112,566.0229060616921,nan,-,-,-,-,-
36,1.44,-774435,860.9172359161876,nan,-,-,-,-,-
37,1.48,-773781,1126.264675331156,nan,-,-,-,-,-
38,1.52,-775888,1544.8790270004724,nan,-,-,-,-,-
39,1.56,-778310,1935.358397282931,nan,-,-,-,-,-
40,1.6,-780036,1956.4274625211556,nan,-,-,-,-,-
41,1.64,-781217,1332.3762194358465,nan,-,-,-,-,-
42,1.68,-782198,204.4586786025411,nan,-,-,-,-,-
43,1.72,-783558,-850.3165609143798,nan,-,-,-,-,-
44,1.76,-783498,-1382.5790998534762,nan,-,-,-,-,-
45,1.8,-783866,-1297.40214253758,nan,-,-,-,-,-
46,1.84,-783914,-979.3362292520685,nan,-,-,-,-,-
47,1.88,-782614,-831.204716331209,nan,-,-,-,-,-
48,1.92,-773955,-1124.4324647544618,nan,-,-,-,-,-
49,1.96,-768293,-1326.0292107705427,nan,-,-,-,-,-
50,2.0,-767376,-1164.027142384256,nan,-,-,-,-,-
51,2.04,-768796,-703.051976422169,nan,-,-,-,-,-
52,2.08,-772078,-105.93928322428633,nan,-,-,-,-,-
53,2.12,-774761,416.75013120800395,nan,-,-,-,-,-
54,2.16,-774878,775.6272468056632,nan,-,-,-,-,-
55,2.2,-774316,1086.5143518349155,nan,-,-,-,-,-
56,2.24,-775066,1478.4212970507724,nan,-,-,-,-,-
57,2.28,-776687,1885.1145102553314,nan,-,-,-,-,-
58,2.32,-779734,2055.2024384558945,nan,-,-,-,-,-
59,2.36,-781135,1570.336916151467,nan,-,-,-,-,-
60,2.4,-782137,495.0249308910202,nan,-,-,-,-,-
61,2.44,-782989,-663.6445731941272,nan,-,-,-,-,-
62,2.48,-783250,-1343.0003619442887,nan,-,-,-,-,-
63,2.52,-783153,-1364.2278718290656,nan,-,-,-,-,-
64,2.56,-783459,-998.7036457911795,nan,-,-,-,-,-
65,2.6,-782609,-729.7456991280615,nan,-,-,-,-,-
66,2.64,-776796,-884.9443342043551,nan,-,-,-,-,-
67,2.68,-769566,-1219.8794284931973,nan,-,-,-,-,-
68,2.72,-767802,-1239.225721423957,nan,-,-,-,-,-
69,2.76,-767909,-915.4334394531807,nan,-,-,-,-,-
70,2.8,-772011,-269.35913134784323,nan,-,-,-,-,-
71,2.84,-773942,306.281996943932,nan,-,-,-,-,-
72,2.88,-775335,742.2178951012211,nan,-,-,-,-,-
73,2.92,-774067,992.1706373338607,nan,-,-,-,-,-
74,2.96,-774812,1306.828300555272,nan,-,-,-,-,-
75,3.0,-776851,1690.1702184008795,72,72.0,-,-,-,-
76,3.04,-779286,1927.0095823762367,72,-,-,-,-,-
77,3.08,-781234,1666.803854469641,72,-,-,-,-,-
78,3.12,-782001,774.3575491649344,72,-,-,-,-,-
79,3.16,-783024,-358.3832899460904,72,-,-,-,-,-
80,3.2,-783640,-1173.4263312187,72,-,-,-,-,-
81,3.24,-783478,-1365.556373519088,72,-,-,-,-,-
82,3.28,-782935,-1097.7364817047494,72,-,-,-,-,-
83,3.32,-781070,-835.4805986436381,72,-,-,-,-,-
84,3.36,-771858,-1048.5654342200032,72,-,-,-,-,-
85,3.4,-767893,-1250.1215139491105,72,-,-,-,-,-
86,3.44,-768284,-1192.6324619100515,72,-,-,-,-,-
87,3.48,-770633,-793.3325277030017,72,-,-,-,-,-
88,3.52,-775100,-134.2726802256975,72,-,-,-,-,-
89,3.56,-774958,372.7039808851591,72,-,-,-,-,-
90,3.6,-774359,758.7978706208341,72,-,-,-,-,-
91,3.64,-774119,1096.1768193735875,72,-,-,-,-,-
92,3.68,-776852,1540.6469075888253,72,-,-,-,-,-
93,3.72,-779327,1905.6569433093764,72,-,-,-,-,-
94,3.76,-780785,1876.690019940721,72,-,-,-,-,-
95,3.8,-782617,1242.1469567853292,72,-,-,-,-,-
96,3.84,-782403,80.22521852509999,72,-,-,-,-,-
97,3.88,-784080,-899.764338648253,72,-,-,-,-,-
98,3.92,-783129,-1330.0894146001856,72,-,-,-,-,-
99,3.96,-783534,-1105.923481657826,72,-,-,-,-,-
100,4.0,-783315,-756.9841607674307,72,-,-,-,-,-
101,4.04,-781181,-727.2292344786238,72,-,-,-,-,-
102,4.08,-771695,-1167.5398527552134,72,-,-,-,-,-
103,4.12,-768200,-1329.7026318582339,72,-,-,-,-,-
104,4.16,-767901,-1081.9285063935786,72,-,-,-,-,-
105,4.2,-770264,-506.4331309053723,72,-,-,-,-,-
106,4.24,-772805,106.24848384052984,72,-,-,-,-,-
107,4.28,-773968,563.4594342652831,72,-,-,-,-,-
108,4.32,-774151,873.7528478233558,72,-,-,-,-,-
109,4.36,-774766,1166.4429076032793,72,-,-,-,-,-
110,4.4,-776429,1533.7750899701855,72,-,-,-,-,-
111,4.44,-778005,1857.5454235335365,72,-,-,-,-,-
112,4.48,-780974,1889.191698410168,72,-,-,-,-,-
113,4.52,-783002,1283.1696778458509,72,-,-,-,-,-
114,4.56,-781904,114.0606642539235,72,-,-,-,-,-
115,4.6,-783489,-874.8220608912058,72,-,-,-,-,-
116,4.64,-782603,-1375.9884720200193,72,-,-,-,-,-
117,4.68,-783949,-1248.2883723765367,72,-,-,-,-,-
118,4.72,-782973,-1004.3163658547901,72,-,-,-,-,-
119,4.76,-780837,-924.3375737724632,72,-,-,-,-,-
120,4.8,-772536,-1198.4554885969228,72,-,-,-,-,-
121,4.84,-767258,-1345.3615509488245,72,-,-,-,-,-
122,4.88,-767355,-1105.996844440082,72,-,-,-,-,-
123,4.92,-771305,-506.04634636572496,72,-,-,-,-,-
124,4.96,-773788,133.68564653946078,72,-,-,-,-,-
125,5.0,-776253,665.2420282351959,72,-,-,-,-,-
126,5.04,-774635,895.2868206806393,72,-,-,-,-,-
127,5.08,-774805,1126.0787838703682,72,-,-,-,-,-
128,5.12,-776593,1483.5265033668984,72,-,-,-,-,-
129,5.16,-778808,1851.8350380994566,72,-,-,-,-,-
130,5.2,-779735,1843.1305765881511,72,-,-,-,-,-
131,5.24,-780782,1199.0023581512942,72,-,-,-,-,-
132,5.28,-780306,3.0719666235985414,72,-,-,-,-,-
133,5.32,-780978,-1056.6289815149273,72,-,-,-,-,-
134,5.36,-782905,-1419.6328347726107,72,-,-,-,-,-
135,5.4,-783944,-1144.5909473208224,72,-,-,-,-,-
136,5.44,-784149,-696.169355128687,72,-,-,-,-,-
137,5.48,-781776,-568.1151095287328,72,-,-,-,-,-
138,5.52,-772754,-923.9526792600118,72,-,-,-,-,-
139,5.56,-768312,-1117.7510644905306,72,-,-,-,-,-
140,5.6,-768302,-922.4747810969275,72,-,-,-,-,-
141,5.64,-770078,-469.2075829501355,72,-,-,-,-,-
142,5.68,-772678,-1.3426499433512618,72,-,-,-,-,-
143,5.72,-775517,329.95276541040676,72,-,-,-,-,-
144,5.76,-774268,458.10928631203524,72,-,-,-,-,-
145,5.8,-774526,750.4224884225068,72,-,-,-,-,-
146,5.84,-777564,1331.493237154461,72,-,-,-,-,-
147,5.88,-779481,1880.826015441311,72,-,-,-,-,-
148,5.92,-780653,1995.0257028397864,72,-,-,-,-,-
149,5.96,-781510,1390.1885267883217,72,-,-,-,-,-
150,6.0,-782002,244.24691910314255,73,72.5,-,-,-,-
151,6.04,-782349,-839.7913909110769,73,-,-,-,-,-
152,6.08,-782332,-1358.4167838293383,73,-,-,-,-,-
153,6.12,-782737,-1261.7676759361593,73,-,-,-,-,-
154,6.16,-782430,-957.4996699721569,73,-,-,-,-,-
155,6.2,-779632,-864.9700878024232,73,-,-,-,-,-
156,6.24,-770191,-1158.124487634408,73,-,-,-,-,-
157,6.28,-767395,-1181.9553771802912,73,-,-,-,-,-
158,6.32,-768686,-841.1124040055374,73,-,-,-,-,-
159,6.36,-772081,-263.40363944851254,73,-,-,-,-,-
160,6.4,-774344,259.70740926659346,73,-,-,-,-,-
161,6.44,-775065,605.1416075348407,73,-,-,-,-,-
162,6.48,-773565,780.7914486506374,73,-,-,-,-,-
163,6.52,-775273,1070.5981444531558,73,-,-,-,-,-
164,6.56,-776798,1433.9863843612902,73,-,-,-,-,-
165,6.6,-778675,1756.713944199153,73,-,-,-,-,-
166,6.64,-781240,1705.1784394340075,73,-,-,-,-,-
167,6.68,-781662,947.7756837147799,73,-,-,-,-,-
168,6.72,-782766,-174.12325847041166,73,-,-,-,-,-
169,6.76,-782675,-1084.9607492791874,73,-,-,-,-,-
170,6.8,-783789,-1282.2865627952579,73,-,-,-,-,-
171,6.84,-783481,-1010.4935400676204,73,-,-,-,-,-
172,6.88,-782487,-732.2969654498456,73,-,-,-,-,-
173,6.92,-777887,-832.95455697134,73,-,-,-,-,-
174,6.96,-769270,-1217.5817636330066,73,-,-,-,-,-
175,7.0,-767766,-1245.0493290914992,73,-,-,-,-,-
