muestra,tiempo,ppg,ppg filtrado,spi,spi_promedio,estado,tipo evento,evento,alarma
1,0.04,-1205801,1972.1040653520668,nan,-,-,-,-,-
2,0.08,-1208978,2611.225364514913,nan,-,-,-,-,-
3,0.12,-1213107,3056.3023568508916,nan,-,-,-,-,-
4,0.16,-1215437,2737.2294748405966,nan,-,-,-,-,-
5,0.2,-1217339,1444.80737459582,nan,-,-,-,-,-
6,0.24,-1217847,-406.3492049264173,nan,-,-,-,-,-
7,0.28,-1219220,-1825.429754393252,nan,-,-,-,-,-
8,0.32,-1219887,-2258.668433575498,nan,-,-,-,-,-
9,0.36,-1219442,-1891.758294851897,nan,-,-,-,-,-
10,0.4,-1219074,-1353.1600365818754,nan,-,-,-,-,-
11,0.44,-1214865,-1285.1271571609104,nan,-,-,-,-,-
12,0.48,-1200743,-1841.8102824477792,nan,-,-,-,-,-
13,0.52,-1194995,-2006.754709480083,nan,-,-,-,-,-
14,0.56,-1195242,-1556.1952322495254,nan,-,-,-,-,-
15,0.6,-1200538,-619.6307367802989,nan,-,-,-,-,-
16,0.64,-1204482,288.05206228803854,nan,-,-,-,-,-
17,0.68,-1207787,991.4675581464899,nan,-,-,-,-,-
18,0.72,-1207634,1428.7121145870015,nan,-,-,-,-,-
19,0.76,-1206622,1836.6586382454097,nan,-,-,-,-,-
20,0.8,-1210288,2472.41776167605,nan,-,-,-,-,-
21,0.84,-1212213,2935.7172292429505,nan,-,-,-,-,-
22,0.88,-1214262,2805.0916136943024,nan,-,-,-,-,-
23,0.92,-1216472,1711.6267570299515,nan,-,-,-,-,-
24,0.96,-1217638,-89.37017912949523,nan,-,-,-,-,-
25,1.0,-1218172,-1672.7061501953904,nan,-,-,-,-,-
26,1.04,-1218723,-2266.5901791333354,nan,-,-,-,-,-
27,1.08,-1219253,-1915.2626947156775,nan,-,-,-,-,-
28,1.12,-1219640,-1267.8613130176086,nan,-,-,-,-,-
29,1.16,-1216021,-1025.7838929654308,nan,-,-,-,-,-
30,1.2,-1202326,-1455.3198319906023,nan,-,-,-,-,-
31,1.24,-1195933,-1673.3818342300765,nan,-,-,-,-,-
32,1.28,-1195053,-1437.1069450452433,nan,-,-,-,-,-
33,1.32,-1200305,-715.151619322741,nan,-,-,-,-,-
34,1.36,-1205143,92.77179686677391,nan,-,-,-,-,-
35,1.4,-1207220,729.0946516364511,nan,-,-,-,-,-
36,1.44,-1206916,1157.1078493621535,nan,-,-,-,-,-
37,1.48,-1206555,1555.5003662260197,nan,-,-,-,-,-
38,1.52,-1208673,2137.1167088581497,nan,-,-,-,-,-
39,1.56,-1211567,2727.0927192775553,nan,-,-,-,-,-
40,1.6,-1214561,2810.7411651130533,nan,-,-,-,-,-
41,1.64,-1217094,1901.2240985115295,nan,-,-,-,-,-
42,1.68,-1219137,193.38788165079632,nan,-,-,-,-,-
43,1.72,-1219018,-1465.1369432711513,nan,-,-,-,-,-
44,1.76,-1220060,-2136.554825537239,nan,-,-,-,-,-
45,1.8,-1220044,-1857.0775334409818,nan,-,-,-,-,-
46,1.84,-1219769,-1249.7041509414867,nan,-,-,-,-,-
47,1.88,-1215503,-1062.2539664139877,nan,-,-,-,-,-
48,1.92,-1200781,-1597.745910878597,nan,-,-,-,-,-
49,1.96,-1194176,-1911.5166440252142,nan,-,-,-,-,-
50,2.0,-1195381,-1656.8277097279279,nan,-,-,-,-,-
51,2.04,-1199762,-919.3696161664268,nan,-,-,-,-,-
52,2.08,-1204731,22.37121930684316,nan,-,-,-,-,-
53,2.12,-1207738,839.7880302399881,nan,-,-,-,-,-
54,2.16,-1206834,1361.0844801565845,nan,-,-,-,-,-
55,2.2,-1207124,1840.6367642326913,nan,-,-,-,-,-
56,2.24,-1210605,2477.6062767252342,nan,-,-,-,-,-
57,2.28,-1213874,3025.8377750688524,nan,-,-,-,-,-
58,2.32,-1215504,2927.1116979367644,nan,-,-,-,-,-
59,2.36,-1216962,1794.793381764253,nan,-,-,-,-,-
60,2.4,-1218115,-84.72574323715207,nan,-,-,-,-,-
61,2.44,-1217908,-1770.9825853064365,nan,-,-,-,-,-
62,2.48,-1218570,-2388.695816838661,nan,-,-,-,-,-
63,2.52,-1218932,-2027.9188981761092,nan,-,-,-,-,-
64,2.56,-1219021,-1381.4024558612537,nan,-,-,-,-,-
65,2.6,-1215307,-1159.4657736904383,nan,-,-,-,-,-
66,2.64,-1202025,-1577.0865076552745,nan,-,-,-,-,-
67,2.68,-1196138,-1710.140465111228,nan,-,-,-,-,-
68,2.72,-1195493,-1335.8694818207368,nan,-,-,-,-,-
69,2.76,-1200057,-518.4945009769542,nan,-,-,-,-,-
70,2.8,-1204905,322.31130861572,nan,-,-,-,-,-
71,2.84,-1207046,908.2095087542721,nan,-,-,-,-,-
72,2.88,-1207184,1268.101713126025,nan,-,-,-,-,-
73,2.92,-1206554,1591.8183779815345,nan,-,-,-,-,-
74,2.96,-1209393,2147.100623519291,nan,-,-,-,-,-
75,3.0,-1212653,2696.9196719722486,56,56.0,-,-,-,-
76,3.04,-1216347,2752.302976115555,56,-,-,-,-,-
77,3.08,-1217645,1787.7119863843636,56,-,-,-,-,-
78,3.12,-1218411,76.15117831375346,56,-,-,-,-,-
79,3.16,-1220198,-1467.665499458898,56,-,-,-,-,-
80,3.2,-1220468,-2150.254804256737,56,-,-,-,-,-
81,3.24,-1221284,-1880.3022580425884,56,-,-,-,-,-
82,3.28,-1218128,-1411.1794386903457,56,-,-,-,-,-
83,3.32,-1208678,-1404.045090665708,56,-,-,-,-,-
84,3.36,-1196036,-1835.9926958861179,56,-,-,-,-,-
85,3.4,-1194407,-1893.472292110353,56,-,-,-,-,-
86,3.44,-1197668,-1430.6702683131944,56,-,-,-,-,-
87,3.48,-1203172,-538.6868545451421,56,-,-,-,-,-
88,3.52,-1206895,369.5577662651194,56,-,-,-,-,-
89,3.56,-1207601,1025.9174032552773,56,-,-,-,-,-
90,3.6,-1205774,1482.520734195712,56,-,-,-,-,-
91,3.64,-1208439,2140.7266563587027,56,-,-,-,-,-
92,3.68,-1211261,2840.0658413889805,56,-,-,-,-,-
93,3.72,-1214609,3176.262254275318,56,-,-,-,-,-
94,3.76,-1215180,2495.736643529005,56,-,-,-,-,-
95,3.8,-1217505,890.1569380526412,56,-,-,-,-,-
96,3.84,-1217765,-1017.2690248788513,56,-,-,-,-,-
97,3.88,-1219283,-2122.554577541717,56,-,-,-,-,-
98,3.92,-1219058,-2153.3457314910966,56,-,-,-,-,-
99,3.96,-1219615,-1518.7519549644367,56,-,-,-,-,-
100,4.0,-1218967,-1039.0210060042186,56,-,-,-,-,-
101,4.04,-1208455,-1309.3689019375233,56,-,-,-,-,-
102,4.08,-1197714,-1753.5182087767735,56,-,-,-,-,-
103,4.12,-1194630,-1698.4131876095944,56,-,-,-,-,-
104,4.16,-1198254,-1058.8545258357226,56,-,-,-,-,-
105,4.2,-1201222,-276.0639359779959,56,-,-,-,-,-
106,4.24,-1206807,516.3138494629247,56,-,-,-,-,-
107,4.28,-1207267,1000.3542824082333,56,-,-,-,-,-
108,4.32,-1205529,1360.3839662845094,56,-,-,-,-,-
109,4.36,-1208201,1941.2787173752859,56,-,-,-,-,-
110,4.4,-1211392,2598.3005389285463,56,-,-,-,-,-
111,4.44,-1213621,2931.826239290891,56,-,-,-,-,-
112,4.48,-1214905,2414.835508852945,56,-,-,-,-,-
113,4.52,-1215218,920.9701708084194,56,-,-,-,-,-
114,4.56,-1218172,-796.4755504381651,56,-,-,-,-,-
115,4.6,-1218826,-1958.8493849515694,56,-,-,-,-,-
116,4.64,-1218464,-2117.1371504064055,56,-,-,-,-,-
117,4.68,-1219869,-1562.0478816246602,56,-,-,-,-,-
118,4.72,-1218898,-1107.0395083832063,56,-,-,-,-,-
119,4.76,-1213670,-1154.3680662223833,56,-,-,-,-,-
120,4.8,-1200455,-1628.2190831278804,56,-,-,-,-,-
121,4.84,-1195368,-1636.8071483969015,56,-,-,-,-,-
122,4.88,-1197306,-1110.2848240256644,56,-,-,-,-,-
123,4.92,-1201747,-381.0757276951957,56,-,-,-,-,-
124,4.96,-1205787,273.9810382772512,56,-,-,-,-,-
125,5.0,-1207249,766.41343665768,56,-,-,-,-,-
126,5.04,-1206628,1178.9578856443904,56,-,-,-,-,-
127,5.08,-1208098,1711.8248848569501,56,-,-,-,-,-
128,5.12,-1210131,2322.504085353983,56,-,-,-,-,-
129,5.16,-1212670,2792.979088646228,56,-,-,-,-,-
130,5.2,-1213750,2579.6513388308767,56,-,-,-,-,-
131,5.24,-1216192,1456.095928464495,56,-,-,-,-,-
132,5.28,-1217077,-285.5860431188835,56,-,-,-,-,-
133,5.32,-1217948,-1668.5108404663688,56,-,-,-,-,-
134,5.36,-1219957,-2023.0580975872872,56,-,-,-,-,-
135,5.4,-1219840,-1642.1719455371863,56,-,-,-,-,-
136,5.44,-1219314,-1135.4093864721399,56,-,-,-,-,-
137,5.48,-1212880,-1124.1561573780136,56,-,-,-,-,-
138,5.52,-1198901,-1590.9787957088356,56,-,-,-,-,-
139,5.56,-1194978,-1648.3301135594702,56,-,-,-,-,-
140,5.6,-1196130,-1274.7252440565262,56,-,-,-,-,-
141,5.64,-1200760,-590.233470693075,56,-,-,-,-,-
142,5.68,-1205490,129.65254958830428,56,-,-,-,-,-
143,5.72,-1207217,687.1591850954419,56,-,-,-,-,-
144,5.76,-1205838,1111.8502622426222,56,-,-,-,-,-
145,5.8,-1206442,1682.5839822124835,56,-,-,-,-,-
146,5.84,-1211034,2478.0354635964995,56,-,-,-,-,-
147,5.88,-1212124,2958.721700243722,56,-,-,-,-,-
148,5.92,-1215775,2776.895673111323,56,-,-,-,-,-
149,5.96,-1217499,1511.139849535416,56,-,-,-,-,-
150,6.0,-1217651,-356.95839513416604,57,56.5,-,-,-,-
151,6.04,-1220049,-1736.7923963211067,57,-,-,-,-,-
