muestra,tiempo,ppg,ppg filtrado,spi,spi_promedio,estado,tipo evento,evento,alarma
1,0.04,-1231373,-1138.515442182651,nan,-,-,-,-,-
2,0.08,-1216152,-1689.2613342718541,nan,-,-,-,-,-
3,0.12,-1211441,-1690.0805221470146,nan,-,-,-,-,-
4,0.16,-1214039,-1156.6283472410269,nan,-,-,-,-,-
5,0.2,-1218666,-387.49612430020693,nan,-,-,-,-,-
6,0.24,-1223736,397.4352428402681,nan,-,-,-,-,-
7,0.28,-1224940,961.8818516617894,nan,-,-,-,-,-
8,0.32,-1223820,1367.1546084565716,nan,-,-,-,-,-
9,0.36,-1224605,1851.352564678462,nan,-,-,-,-,-
10,0.4,-1228002,2484.82443562322,nan,-,-,-,-,-
11,0.44,-1229973,2909.600084090096,nan,-,-,-,-,-
12,0.48,-1232574,2681.29807422225,nan,-,-,-,-,-
13,0.52,-1233373,1397.1941587880506,nan,-,-,-,-,-
14,0.56,-1234567,-453.07653848672817,nan,-,-,-,-,-
15,0.6,-1236746,-1854.1555077381095,nan,-,-,-,-,-
16,0.64,-1236553,-2235.9890272429957,nan,-,-,-,-,-
17,0.68,-1236990,-1725.55148807786,nan,-,-,-,-,-
18,0.72,-1237448,-1100.9748025222866,nan,-,-,-,-,-
19,0.76,-1231384,-1083.5164031276754,nan,-,-,-,-,-
20,0.8,-1216360,-1651.9430872161847,nan,-,-,-,-,-
21,0.84,-1213214,-1722.125202641264,nan,-,-,-,-,-
22,0.88,-1212896,-1354.3546553420656,nan,-,-,-,-,-
23,0.92,-1217154,-603.0545475022647,nan,-,-,-,-,-
24,0.96,-1222299,182.08212699536762,nan,-,-,-,-,-
25,1.0,-1224701,770.7321189461245,nan,-,-,-,-,-
26,1.04,-1223105,1172.036271211924,nan,-,-,-,-,-
27,1.08,-1224466,1728.8457383086852,nan,-,-,-,-,-
28,1.12,-1227525,2434.0650364641697,nan,-,-,-,-,-
29,1.16,-1230028,2970.0939052173508,nan,-,-,-,-,-
