muestra,tiempo,ppg,ppg filtrado,spi,spi_promedio,estado,tipo evento,evento,alarma
1,0.04,-783261,-194.24570194429316,nan,-,-,-,-,-
2,0.08,-782735,-1111.9929360009273,nan,-,-,-,-,-
3,0.12,-784376,-1313.13228648489,nan,-,-,-,-,-
4,0.16,-784504,-1054.826278995776,nan,-,-,-,-,-
5,0.2,-784046,-738.8226855005275,nan,-,-,-,-,-
6,0.24,-780647,-727.3959031679697,nan,-,-,-,-,-
7,0.28,-772880,-1022.0333732232666,nan,-,-,-,-,-
8,0.32,-768739,-1136.7782724672343,nan,-,-,-,-,-
9,0.36,-768018,-926.3757666037254,nan,-,-,-,-,-
10,0.4,-770367,-441.16944962824516,nan,-,-,-,-,-
11,0.44,-773675,104.83631992900382,nan,-,-,-,-,-
12,0.48,-775544,523.4270577304487,nan,-,-,-,-,-
13,0.52,-775209,793.9737762019026,nan,-,-,-,-,-
14,0.56,-774267,1064.9282861197744,nan,-,-,-,-,-
15,0.6,-776771,1523.5820023143115,nan,-,-,-,-,-
16,0.64,-778655,1897.3458459015346,nan,-,-,-,-,-
17,0.68,-779983,1863.0620381003446,nan,-,-,-,-,-
18,0.72,-781523,1217.1055461726537,nan,-,-,-,-,-
19,0.76,-782152,99.46289347142101,nan,-,-,-,-,-
20,0.8,-782629,-929.5650872376926,nan,-,-,-,-,-
21,0.84,-783776,-1370.5631248610562,nan,-,-,-,-,-
22,0.88,-783937,-1240.4973447635834,nan,-,-,-,-,-
23,0.92,-783605,-887.5667836090306,nan,-,-,-,-,-
24,0.96,-782709,-707.8628547457001,nan,-,-,-,-,-
25,1.0,-775290,-977.5378736821212,nan,-,-,-,-,-
26,1.04,-770321,-1186.245284106708,nan,-,-,-,-,-
27,1.08,-768700,-1075.013490020222,nan,-,-,-,-,-
28,1.12,-771032,-617.9992782091877,nan,-,-,-,-,-
29,1.16,-772211,-134.96467608406658,nan,-,-,-,-,-
