muestra,tiempo,ppg,ppg filtrado,spi,spi_promedio,estado,tipo evento,evento,alarma
1,0.04,-1053135,-815.343430542408,nan,-,-,-,-,-
2,0.08,-1056195,-121.7242457027969,nan,-,-,-,-,-
3,0.12,-1060420,546.8140479159492,nan,-,-,-,-,-
4,0.16,-1060806,973.0554536259569,nan,-,-,-,-,-
5,0.2,-1060139,1353.833754108975,nan,-,-,-,-,-
6,0.24,-1063035,1956.0884233298648,nan,-,-,-,-,-
7,0.28,-1064864,2511.2515945018886,nan,-,-,-,-,-
8,0.32,-1066962,2641.7026436631604,nan,-,-,-,-,-
9,0.36,-1067962,1898.3845922777596,nan,-,-,-,-,-
10,0.4,-1069040,421.88859506662993,nan,-,-,-,-,-
11,0.44,-1070498,-1083.11983512493,nan,-,-,-,-,-
12,0.48,-1071580,-1901.3666528721278,nan,-,-,-,-,-
13,0.52,-1071964,-1867.629771438493,nan,-,-,-,-,-
14,0.56,-1072074,-1385.725296226528,nan,-,-,-,-,-
15,0.6,-1070825,-1025.6949126657923,nan,-,-,-,-,-
16,0.64,-1066323,-1049.7915772423694,nan,-,-,-,-,-
17,0.68,-1052166,-1477.220871596046,nan,-,-,-,-,-
18,0.72,-1049648,-1359.8317300489798,nan,-,-,-,-,-
19,0.76,-1051104,-893.7630002490368,nan,-,-,-,-,-
20,0.8,-1056283,-224.59990225272622,nan,-,-,-,-,-
21,0.84,-1060205,363.628615370395,nan,-,-,-,-,-
22,0.88,-1061671,815.6703169844914,nan,-,-,-,-,-
23,0.92,-1061488,1209.1345013056416,nan,-,-,-,-,-
24,0.96,-1062076,1682.9792731574425,nan,-,-,-,-,-
25,1.0,-1064032,2240.756211229628,nan,-,-,-,-,-
26,1.04,-1065233,2577.220911585031,nan,-,-,-,-,-
27,1.08,-1067682,2307.7292191235483,nan,-,-,-,-,-
28,1.12,-1068983,1110.9325341967356,nan,-,-,-,-,-
29,1.16,-1070289,-548.8381799308295,nan,-,-,-,-,-
30,1.2,-1071407,-1783.0991882290323,nan,-,-,-,-,-
31,1.24,-1071380,-2063.869816751458,nan,-,-,-,-,-
32,1.28,-1070706,-1603.664366029689,nan,-,-,-,-,-
33,1.32,-1070130,-1029.1527543246193,nan,-,-,-,-,-
34,1.36,-1064572,-929.7514568631541,nan,-,-,-,-,-
35,1.4,-1053467,-1275.0161645490753,nan,-,-,-,-,-
36,1.44,-1049710,-1358.6367000737082,nan,-,-,-,-,-
37,1.48,-1051284,-1050.8452546014205,nan,-,-,-,-,-
38,1.52,-1056053,-434.79827552667075,nan,-,-,-,-,-
39,1.56,-1059133,208.72554389616016,nan,-,-,-,-,-
40,1.6,-1062922,845.8214925505063,nan,-,-,-,-,-
41,1.64,-1062432,1280.0607041091716,nan,-,-,-,-,-
42,1.68,-1061932,1682.180111680943,nan,-,-,-,-,-
43,1.72,-1064171,2151.972720213539,nan,-,-,-,-,-
44,1.76,-1065866,2408.305454441869,nan,-,-,-,-,-
45,1.8,-1068104,2113.684785881075,nan,-,-,-,-,-
46,1.84,-1068581,981.1676887506842,nan,-,-,-,-,-
47,1.88,-1070274,-534.716166054277,nan,-,-,-,-,-
48,1.92,-1071401,-1712.3205173640386,nan,-,-,-,-,-
49,1.96,-1071839,-2028.5749432730138,nan,-,-,-,-,-
50,2.0,-1071530,-1621.036477393344,nan,-,-,-,-,-
51,2.04,-1070908,-1028.4989737893861,nan,-,-,-,-,-
52,2.08,-1067728,-773.005059978972,nan,-,-,-,-,-
53,2.12,-1055647,-1109.5917502744614,nan,-,-,-,-,-
54,2.16,-1051263,-1246.1631852453283,nan,-,-,-,-,-
55,2.2,-1051222,-1039.0004545180873,nan,-,-,-,-,-
56,2.24,-1054774,-493.3356139133004,nan,-,-,-,-,-
57,2.28,-1060360,192.57664314431622,nan,-,-,-,-,-
58,2.32,-1063831,762.8935988112107,nan,-,-,-,-,-
